Name,Dept.,Rating,Difficulty,Would-Take-Again,Link
"Venerable, Walter James",PSYC,4.1,3.3,77.7778,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2784537
"Mumford, Kevin",HIST,1.4,4.4,12.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2364326
"Osswald, Benjamin",Accounting,5,3,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2912359
"Mehrtens, Bradley",Biology,3.6,4,37.037,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=381154
"Gist, Toni",Food Science,4.9,1.9,97.619,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2320708
"Nowak, Michael",CS,2.1,4,24.7863,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2685082
"Buckley, Bryan",ECON,3.8,2.9,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1926164
"Aravamudan, Bharathi",Anatomy,1.1,4.8,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3031743
"Petrickova, Sarka",MATH,3.8,3.4,73.913,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2299023
"Ahlgren, Scott",MATH,4.7,3,96,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=410118
"Liu, Hongye",CS,2.2,3.4,25,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2527253
"Alvarez, Juan",Electrical  Computer Engineering,2,4.1,27.7778,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2106312
"Hoganson, Kristin",HIST,3.2,3,40,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=211569
"Lazebnik, Svetlana",CS,2.7,3.5,44.4444,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1832200
"Shinew, Kimberly",Athletics,4,1.5,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1599038
"Petruzello, Steven",Kinesiology,5,2.4,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2329438
"Hasegawa-Johnson, Mark",ENG,3.9,3.5,77.7778,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=567278
"Hall, Steven",ADV,5,1,91.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2633701
"Meyers, John",African-American Studies,4.7,2.2,90,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2633210
"Leditzky, Felix",MATH,4,3.8,60,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2757147
"Clemon, Mickey",ME,3,3.7,33.3333,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3076080
"Kraft, Julie",ENGL,1,4,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3089432
"Stelzer, Timothy (Tim)",PHYS,4.6,3,97.4026,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=57225
"Rao, Vimal",STAT,4.2,2.6,76.8116,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2927128
"Fleck, Margaret",CS,3.9,3.1,61.5385,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1169737
"Claborn, John",ENGL,4.9,1.5,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=799264
"Soener, Matt",SOC,2.9,3.7,40,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2632584
"Lewin-Loyd, Denise",BUS,3.6,2.5,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1904261
"Holder, Gilbert",Electrical amp Computer Engineering,4.3,2.9,70,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2291719
"Morales Aguirre, Marco",CS,1.2,2.8,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2719900
"Natale, Marisa",HIST,1.6,3.3,11.1111,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3006714
"Froedge, Stephen",Classics,4.9,2.4,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1921433
"Shao, Victoria",Electrical & Computer Engineering,4.2,3.5,83.3333,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2769563
"Cvetkovic, Caroline",BIOE,4,3,50,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2723168
"Sowers, Richard",MATH,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Martinez, Andino",CHEM,2.9,3.5,45.7627,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1926592
"Yu, Albert",STAT,4.6,2.5,86.0759,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2596586
"Esfahani, Manijeh Bahreini",MATH,4,2.9,78.2609,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2790662
"Federmeier, Kara",PSYC,4,3.4,85.7143,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=636861
"Cohen, Dov",PSYC,2.9,3.2,20,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=731443
"Caesar, Matthew",CS,4.2,3.3,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1233560
"Shaw, Grace",ANTH,4,3,75,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2987179
"VanHook, Cortney ",SOCW,1.5,2.5,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2976701
"Flanagan, Karle",STAT,4.9,1.9,96.8037,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1876600
"Goodman, Matthew",Materials Engineering,2.8,2.9,46.1538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2208076
"Lleras, Alejandro",PSYC,4.2,2.4,84.2105,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1411689
"Buetti, Simona",PSYC,5,2.5,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2201972
"Simons, Daniel",PSYC,4.6,2.8,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1085359
"Rodriguez, Randy",Ethnic Studies,3.5,2.7,40,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2865611
"Cho, Matt",PSYC,4.3,2,83.3333,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2959271
"Wang, Yi",MATH,4.3,3,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3074887
"Martinez, Candace",BUS,1.2,4.7,4.9587,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2324845
"Vargas, Patrick",CMN,3.3,3.8,53.8462,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=155216
"Goldstein, Molly",Systems Engineering,4,3.5,90,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2412305
"Wilson-Brown, Carrie",ADV,2.5,2.9,40,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2727945
"Bellon, Pascal",Materials Engineering,3.5,3.6,60,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1035226
"Yu, Ruoqi",STAT,1,3.5,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2988259
"Lu, Ting",BIOE,3,3,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2654642
"Whittlesey, Kim",MATH,2.9,3.9,33.3333,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=209729
"Axelson, Jordan",CHEM,3.9,4.1,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2249882
"Liebenberg, Leon",ME,4.3,3,84.2105,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2257145
"Travis, Lisa",PSYC,2.8,3.3,42.8571,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=819303
"Pearlstein, Arne",ENG,2.7,4.4,20,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=137117
"Diehl, Paul",PS,2.9,4.4,25,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=472221
"Rivier, David",Biochem. & Molecular Biology,3.2,2.9,47.8261,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1717696
"Cheng, Zuofu",Electrical  Computer Engineering,3.5,3.3,60,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1968260
"Prasanth, Kannanganattu",Biology,3.8,3.1,69.2308,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2444932
"Mohaghegh, Zahra","Nuclear, Plasma, & Radiological Engineering",3.6,3.1,62.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2785477
"Ramakrishnan, Sharath",Art & Design,2.4,3.3,37.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2982942
"Catchen, Julian",Biology,3,3.3,42.8571,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2581542
"Hummel, Tom",CHEM,3.6,3.9,64.486,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=157386
"Challen, Geoffrey",CS,3.3,3.7,60,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2327680
"Kirr, Eduard",MATH,1.9,4,25,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=833492
"Oikhberg, Timur",MATH,3.3,3.3,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1383643
"Laystrom-Woodard, Julia",Aviation,1.7,3.6,25,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2493256
"Starzewski, Martin",ME,1.7,4.5,25,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1076643
"Widdicks, Martin",FIN,4,3.9,72.7273,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1926135
"Roca, Alfred",Animal Science,4,3.1,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1793435
"Pierre, Louvins",ADV,2.1,3.2,22.2222,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3033322
"Knox, Robert",Animal Science,1.9,4.8,12.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2569176
"Wang, Dong Kai",Electrical & Computer Engineering,2.9,3.1,50,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2999944
"Loor, Juan",Animal Science,2.3,4.1,16.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1733343
"Young, Lisa",ASTR,3,2.9,57.1429,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3028276
"Koptieva, Elena",PHYS,2.2,4,33.3333,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2950887
"Dilger, Ryan",Animal Science,2.4,4.4,25,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2131227
"Vanderbeek, Robert",PHIL,4,3,75,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2972431
"Miller, David",Animal Science,3.7,4.3,33.3333,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2593788
"Krishnamurthy, Prajna",Speech & Hearing Sciences,1,5,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3103252
"Dunne, Bryan",ASTR,4.4,2.2,79.4118,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=934237
"Leveritt, John",CHEM,4.5,3,86.8852,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2524430
"Fisher, Mitchell",Accounting,4,3.2,71.7949,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2393313
"Lee, Tonghun",ME,3.4,2.9,61.1111,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1901574
"Winans, Amanda",ASTR,3.8,2.7,69.5652,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2326868
"Jacobson, Sheldon",CS,2,4.2,11.1111,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1636624
"Loewenstein, Jeffrey",BUS,3.4,3.8,22.2222,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1607276
"Abraham, Ivan",ENG,2.6,3.2,46.1538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2909323
"Raskie, Sterling",FIN,4.1,2.2,76.9231,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2371991
"Fratti, Rudy",Biology,1.6,4.4,8.3333,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2537219
"Ashby, Steven",Labor & Employment Relations,1.9,4.6,30,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1674941
"Katselis, Dimitrios",Electrical  Computer Engineering,4.1,3.4,83.3333,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2092005
"Yarrington, Kara",SPAN,2.9,3.1,50,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2272564
"Liang, Zhipei",Electrical & Comp. Engineering,3.6,3.1,83.3333,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1781885
"Keating, Kari",Agriculture,4.7,1.8,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1712754
"Zhao, Han",CS,4,4,75,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2861440
"Chen, Lin-Feng",Biochem. & Molecular Biology,3.4,3.9,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2518085
"McLeer, Heather",ENGL,4.6,2.6,83.3333,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2110012
"Barrett, Marsha",HIST,4.8,2.6,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2287824
"Irani, Rustom",FIN,5,2.4,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1940269
"Marville, Kelly",CHEM,2.6,4.1,24.3056,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1569137
"Curtis, Susan",Accounting,2.7,3.4,55.1724,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=24428
"Schultz, Colleen",ECON,2.3,3.6,22.8916,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=391978
"Stepanov, Alexey",STAT,4.2,2.9,79.0476,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=776819
"Dilanni, Isaac",ECON,4.4,2.6,82.2917,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1743688
"Aggarwal, Anu",Electrical & Computer Engineering,4.1,2.2,77.0642,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2598020
"Toossi, Ali",ECON,3.2,3.3,15.3846,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=388591
"Murphy, John",CMN,3.5,3.3,41.1765,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1559840
"Looney, Leslie",ASTR,4.7,2.2,90,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=250005
"Wirtz, John",ADV,2.7,3.9,53.8462,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1901610
"Unger, David",STAT,3.9,2.6,73.913,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1901692
"Minn, Michael",Geography,3.5,3.5,56,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1793474
"Stodolska, Monika",Not Specified,4.2,2.4,76.4706,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=260202
"Dolgopolov, Vlad",BUS,2.1,3.1,31.25,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2467146
"O'Brien, David",Art History,4.1,3.6,88.8889,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=242514
"Grossman, Rachelle",Comparative Literature,2,4.1,23.0769,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3059988
"Clark, Carrie",MATH,3.8,2.3,50,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2912386
"Khanam, Shaimaa ",CMN,3.2,2,62.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2972717
"Swenddal, Heather",BUS,3.4,3,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3015493
"Kasdan, Terry",ADV,5,2.1,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2680526
"Christie, Max",GEOL,5,1.9,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2748667
"Dziuba, pavlo",ECON,2.7,3.8,44.4444,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3083143
"Mittal, Radhika",CS,1.9,3.4,12.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2699651
"Gunji, Naoko",East Asian Studies,3,3.5,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2914474
"Sanchez, Donovan",Agricultural Economics,5,2.4,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2818161
"Pridemore, Joshua",Design,4.5,3.8,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2959725
"Sherburne, Matt",Materials Engineering,4,1.3,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1835081
"Jeziorski, Will",ECON,5,4,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3095183
"Bosak-Schroeder, Clara",Classics,4.3,3,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2087935
"Ward, Sarah",BUS,3.5,2.5,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2744388
"Aghighi, Azadeh ",REL,5,2,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3062422
"Minefee, Ish",BUS,4.5,1.5,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2744397
"Pieper, Lena",Accounting,5,4,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3102188
"Vazquez, Jose",ECON,3.5,2.1,72.619,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=492019
"Ray, Christian",CHEM,4.3,3.4,80.9091,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=896427
"Huang, Tina",CHEM,3.7,3.6,64.2857,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1665735
"Clegg, Ben",Biology,4.6,2.9,93.8931,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=774129
"Manfroi, Aldo",MATH,4.6,2.4,92.4731,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=529888
"Heller, Jeremiah",MATH,3.2,3.7,54.1667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2097330
"Dill, Brian",SOC,4,2.5,41.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1075048
"Emmert, Jason",Animal Science,4.5,1.9,87.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2518071
"Grossman, Nicholas",PS,4.5,2.5,90.9091,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2459113
"Dullerud, Geir",ENG,3.3,3.3,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=136400
"Richardson, Sarah",Animal Science,4.3,1.4,87.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2657599
"Gardoni, Paolo",Civil Engineering,3,4.3,25,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1781132
"Kudeki, Erhan",ENG,4.4,3.2,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=567275
"Fairchild-Ruggles, Dede",ARCH,3.5,3.9,37.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1246164
"Fraterrigo, Jennifer",Natural Resources,3.8,3.5,40,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1776911
"Hardt, Andy",MATH,5,3,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2995326
"Fowler, Maxwell",CS,4.3,3.5,75,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2839319
"Liu, Yunchuan Frank",BUS,4.7,2.3,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2289751
"Gupta, Pranav",BUS,2.5,1.5,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3101474
"Moss, Christy",Information Science,2,3,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3101466
"Taher, Mania",Design,1,2,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3101477
"Miller, Brad",Information Science,4,1,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3101464
"Seong Song, Yoo-",Information Science,3,4,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3101471
"Glumac, Nick",ENG,2.9,3.7,33.3333,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=616721
"Solomon, Brad",CS,3.5,3.2,60.8696,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2873724
"Rezk, Charles",MATH,3.9,4,75,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=624500
"Ansell, Katie",PHYS,3.8,3.2,57.1429,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2842618
"MacLean, John",ENGL,1.9,3.4,25,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2298341
"Vogler, Stefan",SOC,2.6,3.6,28.5714,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2955248
"Zhang, Jinming",EDUC,1,4.4,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1324764
"Kerr, Alison",PHIL,3.5,3.3,50,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3052904
"Fields, Victoria",CMN,4.3,2,75,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2786211
"Silva, Mariana",ENG,3.5,2.5,41.0256,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1697507
"Mishra, Mithilesh",Languages,2.4,2.9,17.3913,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=976628
"Tahboub, Ruby",CS,2.4,3.6,40,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2927993
"Sun, Yuanyuan",Labor & Employment Relations,2.5,3.5,25,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1871444
"Hung, Pei-Ken",MATH,4.3,2.7,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3097954
"Gerlikovski, Emily",CMN,1,3,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3101009
"Wolters, Mark",BUS,4.8,1.4,89.1304,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1620627
"Seitz, Steven",PS,2.3,3.5,18.75,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=90858
"Miller, Benjamin",PS,4.3,3.3,83.7209,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2109541
"Ibrahim, Adel",Accounting,2.9,4.2,41.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=868684
"Rubins, John",Writing,4.7,1.6,90,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1004016
"Wilson, Brenda",Science,2.8,3.8,10.5263,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=124029
"Chang, Wayne",ENG,3.8,3.3,76.1905,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2469236
"Uribe-McGuire, Alicia",PS,3.1,2.9,50,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2219220
"Tsokaros, Antonios",PHYS,3,2.7,40,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2833743
"Muntean, Ioan",PHIL,1.7,4.4,14.2857,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2821550
"Carroll, Robert",PS,3.9,3.7,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2484716
"Synder, Corey",Electrical & Computer Engineering,5,2.8,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2868599
"Cho, Soobin",MATH,3.3,3.1,50,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3013091
"Medeiros, Marcelo",ECON,1.3,3.5,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3009284
"Siglos, David",Ethnic Studies,3.6,1.7,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3032380
"Smith, Jonathon",MUS,5,1.3,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2864132
"Ansari, Ali",ENG,5,2,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2926451
"Schneider, Alicia",Animal Biology,3,1.8,50,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3012889
"Rowe, James",PHIL,4.8,2,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2906330
"Tang, Ke",ENG,5,2.4,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2890960
"Bahrini, Aram",BUS,5,3,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2945685
"Maslov, Sergei",BIOE,3,2,50,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2727230
"Fung, Kaya",CMN,1,3,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3027733
"Shapland, Julia",Accounting,3.8,3.6,67.5676,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1251256
"Bhowmik, Ujjal",Electrical & Comp. Engineering,2.7,3.4,35.8974,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2505787
"Wood, Gillen",ENGL,4.1,2.9,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=364257
"Gunderson, Lisa",Agriculture,2.5,2.4,39.1304,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1329191
"Choi, Hyungsoo",Electrical & Computer Engineering,1.6,3.1,18.1818,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=850928
"Deeke, Julie",STAT,1.8,3.8,14.2857,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2906311
"Weinberg, Shelley",PHIL,4.1,3.1,85.7143,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1140258
"Dobbs, Theresa",MATH,5,2.6,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2782650
"Kuo, Eric",PHYS,4.4,2.3,94.7368,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2756507
"Arai, Yuji",Natural Resources,3.8,3.4,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1903764
