CourseID,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Students
ABE469,17,162,131,61,46,18,3,2,1,0,0,0,0,0,441
ABE483,0,16,0,0,6,0,0,2,0,0,0,0,0,0,24
ABE488,29,95,59,54,42,19,9,10,3,1,0,0,1,1,322
ABE498,27,175,41,15,10,1,0,1,0,0,2,0,1,2,273
ABE501,0,40,0,1,2,0,0,0,0,0,1,0,0,0,44
ABE598,3,13,5,3,1,0,0,0,0,0,0,0,0,1,25
ACCY200,1022,2612,1315,1105,1018,720,568,398,241,109,114,54,58,13,9334
ACCY201,1690,2232,1891,1481,1424,1168,769,658,499,129,393,129,364,112,12827
ACCY202,989,2523,645,2092,2100,666,581,555,305,0,136,0,62,47,10654
ACCY301,453,1230,1302,1163,1025,526,246,186,84,40,34,12,37,15,6338
ACCY302,358,1211,1366,1290,1057,531,239,95,52,20,17,8,15,14,6259
ACCY303,637,1367,1050,936,737,415,238,179,110,56,48,59,41,16,5873
ACCY304,289,1307,1067,1070,1012,393,158,157,60,17,28,12,27,6,5597
ACCY312,338,1214,811,968,1120,481,182,209,44,17,29,7,25,32,5445
ACCY398,1022,424,9,18,16,0,0,44,0,0,0,0,5,3,1538
ACCY405,88,973,934,1054,784,255,140,61,33,7,11,0,5,9,4345
ACCY410,323,859,555,460,627,406,155,102,43,13,34,4,15,17,3596
ACCY415,8,274,145,200,181,88,23,43,21,5,9,5,6,2,1008
ACCY432,1,9,7,2,3,0,0,0,0,0,0,0,0,0,22
ACCY449,0,49,0,0,3,0,0,0,0,0,0,0,0,0,52
ACCY451,150,754,227,283,556,107,71,137,26,4,7,0,4,3,2326
ACCY500,4303,3066,1875,1046,851,263,100,40,19,4,3,0,56,25,11626
ACCY501,659,1231,823,580,514,205,98,77,33,9,13,9,86,22,4337
ACCY502,406,1180,691,500,427,237,114,100,34,6,16,1,15,10,3727
ACCY503,2950,4954,2459,1804,1421,503,192,151,51,12,12,5,168,28,14682
ACCY504,176,1241,713,515,964,153,28,14,6,0,4,0,11,2,3825
ACCY505,484,1887,702,599,604,221,61,52,7,2,2,1,35,6,4657
ACCY506,112,200,108,123,90,55,18,19,5,0,6,0,2,0,738
ACCY507,225,339,116,85,53,26,24,15,5,4,2,1,2,1,897
ACCY510,192,974,554,575,623,205,32,25,4,0,1,0,3,2,3188
ACCY511,51,340,485,406,220,37,10,9,1,0,0,0,1,0,1560
ACCY512,205,1430,638,329,138,55,10,12,3,0,0,1,3,1,2824
ACCY515,16,543,401,446,429,130,13,16,5,0,1,2,1,2,2003
ACCY516,1,15,7,6,4,2,0,1,0,0,0,0,1,0,37
ACCY517,133,1161,547,403,411,146,14,20,3,0,0,0,1,5,2839
ACCY518,350,71,7,10,4,0,0,1,0,0,0,0,0,0,443
ACCY519,6,3,3,2,1,4,2,0,0,0,0,0,0,1,21
ACCY531,10,384,60,20,14,2,1,0,0,0,0,0,3,0,494
ACCY532,644,78,19,9,5,1,0,0,1,2,0,0,6,1,765
ACCY550,28,80,36,23,15,6,2,1,0,0,0,0,0,0,191
ACCY551,44,121,98,159,229,18,5,3,0,0,1,0,0,0,678
ACCY552,36,166,125,148,233,18,8,1,0,0,1,0,1,0,737
ACCY553,26,76,84,67,73,7,0,0,0,0,0,0,0,0,333
ACCY554,39,82,46,40,48,8,3,0,0,0,0,0,1,0,267
ACCY555,5,33,44,46,22,6,0,1,0,0,0,0,0,0,157
ACCY556,29,349,153,107,155,16,1,16,0,0,1,0,0,0,827
ACCY557,33,150,102,62,58,22,2,3,0,0,0,0,0,0,432
ACCY558,16,76,43,14,10,0,0,0,0,0,0,0,1,0,160
ACCY559,7,101,98,58,26,4,1,0,0,0,0,0,0,0,295
ACCY560,99,182,157,39,14,0,0,0,0,0,0,0,0,0,491
ACCY561,4,42,20,13,41,5,0,1,0,0,0,0,0,0,126
ACCY562,1,4,6,7,4,1,1,1,0,0,0,0,0,0,25
ACCY563,2,6,6,6,2,2,0,0,0,0,0,0,0,0,24
ACCY564,2,3,12,4,2,1,0,0,0,0,0,0,0,0,24
ACCY569,125,111,48,35,22,10,6,5,1,0,3,0,13,0,379
ACCY570,281,846,215,67,54,14,6,7,1,1,1,0,1,2,1494
ACCY571,14,153,65,30,38,5,2,5,0,3,1,0,0,0,316
ACCY574,3,377,14,7,11,2,2,3,2,0,0,1,1,1,423
ACCY575,228,690,331,106,41,15,5,3,3,1,0,3,1,0,1427
ACCY576,145,80,17,12,9,2,1,4,0,0,0,0,6,0,276
ACCY577,59,89,56,14,12,3,1,0,0,0,0,0,3,0,237
ACCY578,114,63,34,8,5,4,3,1,1,0,0,0,4,1,237
ACCY593,229,712,119,95,220,28,9,7,1,0,1,0,0,0,1421
ACE100,247,516,483,425,552,322,264,281,168,93,113,83,111,13,3658
ACE161,69,4929,32,25,1450,6,10,486,3,4,142,2,119,29,7277
ACE199,706,612,75,53,156,13,9,36,4,3,12,1,20,5,1700
ACE203,17,47,48,22,8,3,0,2,1,0,1,0,0,1,149
ACE210,315,641,334,333,480,198,121,168,64,35,33,17,48,10,2787
ACE220,5,28,19,10,10,5,2,0,0,0,0,0,0,0,79
ACE221,176,40,12,8,9,3,7,3,0,0,1,0,1,0,260
ACE222,284,612,300,244,381,141,100,129,37,24,36,8,46,6,2342
ACE231,167,552,419,341,274,124,58,53,20,10,13,4,20,1,2055
ACE232,68,217,138,111,247,81,58,83,21,13,25,4,13,0,1079
ACE240,4076,2961,618,535,1200,241,161,454,70,36,136,35,232,19,10755
ACE243,0,15,7,2,3,1,1,0,0,0,1,0,0,0,30
ACE251,416,1202,760,564,595,335,204,174,75,33,38,13,65,11,4474
ACE254,38,118,59,53,79,25,17,40,14,12,18,1,13,1,487
ACE255,601,215,94,53,40,26,9,12,7,3,4,2,10,0,1076
ACE261,126,199,124,134,205,109,85,98,52,32,34,7,30,6,1235
ACE262,79,169,128,75,136,65,36,53,31,21,18,7,24,0,842
ACE264,101,150,125,100,111,72,65,53,34,14,14,5,19,4,863
ACE270,49,204,139,126,167,103,64,72,33,16,19,1,38,3,1031
ACE300,145,280,87,95,178,63,48,85,26,16,26,11,14,2,1074
ACE306,47,139,99,45,85,42,19,32,9,3,8,1,7,0,536
ACE310,98,379,202,170,179,103,56,49,25,11,9,4,17,4,1302
ACE332,0,5,9,7,5,2,0,0,0,0,0,0,0,0,28
ACE335,62,115,61,34,33,11,2,5,4,1,0,0,1,0,329
ACE341,586,688,214,68,141,27,13,41,11,4,19,2,19,1,1833
ACE344,22,43,3,4,6,1,1,0,2,0,0,0,0,1,82
ACE345,70,802,223,244,208,100,52,46,21,13,7,4,3,3,1793
ACE346,200,233,152,94,128,65,29,28,14,2,5,5,3,1,958
ACE349,0,3,12,8,6,3,1,2,0,0,0,0,0,0,35
ACE360,213,435,178,104,123,74,31,37,27,9,10,6,21,5,1268
ACE398,105,518,100,54,68,16,16,17,5,3,0,5,17,2,924
ACE403,30,57,64,49,31,17,6,20,5,1,2,1,2,0,285
ACE406,33,123,68,53,114,57,18,56,25,8,22,10,16,2,603
ACE410,16,23,8,9,9,7,6,1,0,0,0,0,1,0,80
ACE411,120,136,98,70,92,47,31,18,8,3,5,3,10,2,641
ACE427,128,232,201,197,195,134,101,69,40,17,17,7,12,2,1350
ACE428,137,317,278,201,203,156,99,86,31,26,20,23,20,1,1597
ACE430,21,74,78,106,109,64,56,30,13,2,24,0,4,0,581
ACE431,20,121,82,82,76,51,30,13,5,2,1,0,0,0,483
ACE432,64,34,20,14,6,7,2,7,2,0,0,1,0,0,157
ACE435,340,558,328,242,309,101,47,43,15,9,9,0,13,1,2014
ACE440,20,161,64,24,115,20,10,15,7,0,3,1,4,0,444
ACE444,114,483,211,179,292,105,62,82,34,5,43,9,17,8,1636
ACE445,136,283,20,26,105,21,15,41,4,1,5,1,9,1,667
ACE446,43,177,24,38,80,27,27,51,21,6,23,10,11,3,538
ACE447,8,80,67,29,14,10,3,2,0,0,0,0,0,1,213
ACE448,21,29,22,33,41,22,11,12,3,0,0,0,0,0,194
ACE449,82,154,110,92,136,51,33,37,16,8,12,5,6,2,742
ACE451,24,64,35,54,55,21,29,25,8,0,3,1,2,1,321
ACE454,7,38,15,19,52,25,8,36,5,4,8,3,4,0,224
ACE455,118,176,144,102,141,52,42,37,15,5,6,1,7,3,846
ACE456,25,117,16,18,76,12,8,18,5,1,7,0,3,0,306
ACE471,19,15,10,6,9,5,3,2,2,3,0,0,1,0,75
ACE474,33,100,74,77,113,93,63,50,30,10,9,3,6,6,661
ACE476,13,136,118,136,132,82,70,48,25,12,4,2,9,4,787
ACE499,0,6,6,6,1,5,2,1,0,0,0,0,0,0,27
ACE544,0,24,0,0,1,0,0,0,0,0,0,0,0,0,25
ACE545,0,25,0,2,0,0,0,0,0,0,0,0,0,0,27
ACE562,10,102,32,21,20,2,0,1,0,0,0,0,0,0,188
ACE563,20,10,4,2,4,4,0,0,0,0,0,0,0,0,44
ACE564,5,94,39,18,14,5,0,1,0,0,0,0,0,0,176
ACE592,19,33,23,23,27,9,1,7,0,0,0,0,1,0,143
ACES101,1414,1749,233,106,157,38,52,50,20,15,24,7,48,3,3913
ACES102,77,127,32,8,16,4,5,6,2,1,0,1,6,1,285
ACES179,45,192,115,81,131,39,30,31,14,4,9,6,29,4,726
ACES199,94,66,34,10,27,5,3,8,4,5,2,6,12,2,276
ACES298,18,2,0,0,0,0,0,1,0,0,0,0,0,0,21
ACES409,1,6,5,1,2,3,6,1,0,0,1,0,0,0,26
ACES501,8,16,6,0,1,0,0,0,0,0,0,0,0,0,31
ADV150,2227,3074,266,266,939,93,90,224,23,20,70,13,151,18,7456
ADV175,1,315,172,109,66,32,18,14,2,2,0,2,5,0,738
ADV199,0,21,0,1,0,0,1,0,0,0,0,0,1,0,24
ADV200,12,35,21,28,13,19,14,10,2,0,4,0,0,0,158
ADV201,112,168,58,19,37,9,4,5,2,1,2,1,3,0,421
ADV250,28,335,42,9,26,6,5,4,2,3,1,1,0,0,462
ADV270,343,93,60,54,40,22,23,18,14,13,10,5,23,2,718
ADV281,109,447,261,267,733,190,155,272,74,48,49,22,46,6,2673
ADV283,160,1138,469,145,89,56,6,10,8,1,1,3,9,0,2095
ADV284,169,741,699,301,170,93,23,29,13,6,4,4,8,1,2260
ADV290,64,273,79,45,64,21,16,9,8,2,3,1,5,1,590
ADV300,269,1326,230,216,828,126,83,221,21,14,38,4,50,14,3426
ADV301,87,144,20,10,35,6,0,10,1,2,5,1,4,0,325
ADV305,265,347,65,47,53,16,6,14,4,1,3,1,6,0,828
ADV310,185,738,442,257,673,186,97,162,44,12,24,9,40,12,2869
ADV311,0,99,116,92,76,27,9,6,1,1,3,0,5,0,435
ADV312,0,30,51,79,81,55,38,26,10,10,4,9,8,0,401
ADV314,97,35,17,9,12,8,3,6,2,4,0,1,4,1,198
ADV320,384,186,103,91,57,30,31,25,14,12,3,7,25,2,968
ADV350,109,166,54,39,27,7,2,5,4,2,2,2,2,0,421
ADV360,0,136,84,28,40,15,11,13,7,0,8,0,0,0,342
ADV370,539,158,103,82,66,49,51,23,10,19,12,13,69,4,1194
ADV390,0,480,383,357,509,312,177,112,37,12,6,6,8,2,2399
ADV393,304,446,198,105,114,42,15,28,12,0,5,0,10,1,1279
ADV400,9,153,43,11,23,3,3,8,1,0,0,0,1,0,255
ADV409,43,296,54,43,10,4,4,6,0,0,1,0,5,1,466
ADV410,341,633,343,194,200,46,34,22,8,3,2,0,2,3,1828
ADV411,19,45,26,11,9,4,0,1,0,0,1,0,0,0,116
ADV412,0,21,51,88,114,60,44,28,19,6,4,1,3,0,439
ADV450,0,94,124,152,192,114,67,49,11,5,0,0,2,1,810
ADV460,186,757,310,254,187,101,62,46,23,12,10,3,7,1,1958
ADV461,3,5,9,1,2,0,0,1,0,0,0,0,0,0,21
ADV475,0,1,6,9,9,3,4,2,0,0,0,0,1,0,35
ADV476,1,27,27,17,7,2,0,0,1,1,0,0,0,0,83
ADV478,4,29,1,0,20,0,4,4,1,0,2,0,1,0,66
ADV480,48,21,3,1,4,1,0,0,0,0,0,0,0,1,78
ADV481,1,194,16,10,284,11,13,102,5,0,16,1,3,1,656
ADV483,53,486,777,632,449,233,96,49,21,13,8,2,6,1,2825
ADV490,99,213,68,32,31,14,2,8,3,0,4,0,12,1,486
ADV491,42,197,168,128,92,34,14,9,6,1,2,0,0,0,693
ADV492,22,121,25,23,14,3,2,1,0,0,1,0,1,0,213
ADV493,200,194,73,71,71,36,32,14,5,1,2,2,2,3,703
ADV494,0,103,27,22,14,6,8,9,1,0,1,0,0,0,191
ADV498,0,575,190,61,44,3,3,2,1,0,0,0,0,0,879
ADV550,0,28,9,7,4,2,0,0,0,0,0,0,0,0,50
ADV580,1,38,25,8,4,1,0,0,0,0,0,0,0,0,77
ADV581,8,25,0,5,20,2,1,0,0,0,0,0,0,0,61
ADV582,2,41,25,4,6,0,0,0,0,0,0,0,0,0,78
ADV587,0,22,19,6,1,0,0,0,0,0,0,0,0,0,48
ADV588,0,9,7,5,4,0,0,0,0,0,0,0,0,0,25
AE100,329,1178,230,122,105,40,18,20,10,2,1,4,13,2,2072
AE140,24,419,127,62,59,33,15,16,2,8,7,3,27,2,802
AE199,130,653,227,133,80,40,27,14,18,3,13,6,26,2,1370
AE201,10,26,4,12,16,6,1,2,5,0,1,0,1,0,84
AE202,321,476,297,205,169,105,42,35,19,1,14,4,45,4,1733
AE252,9,10,8,9,10,7,10,11,5,3,2,4,2,0,90
AE302,22,30,19,25,18,9,2,6,1,0,0,0,1,0,133
AE311,183,396,235,143,364,92,83,170,23,8,32,16,45,10,1790
AE312,80,400,140,110,333,83,47,181,33,11,78,10,38,5,1544
AE321,46,286,161,190,274,176,172,174,89,59,80,40,128,11,1875
AE322,5,5,3,6,12,18,1,10,3,5,9,3,3,1,83
AE323,55,295,153,141,245,115,95,123,72,31,57,28,59,5,1469
AE352,364,291,219,181,184,136,107,88,51,14,27,8,25,8,1695
AE353,223,411,205,167,255,127,55,83,32,17,29,19,58,9,1681
AE360,2,19,16,14,15,5,1,3,0,0,0,0,0,0,75
AE370,79,461,188,131,156,81,35,42,33,13,34,26,33,6,1312
AE402,139,200,120,69,119,83,24,44,23,0,8,1,10,4,840
AE403,33,48,34,28,13,17,3,7,0,0,0,0,1,0,184
AE410,54,140,55,30,26,18,11,11,8,2,4,6,10,0,375
AE412,36,113,35,30,43,10,8,8,1,1,3,1,2,2,291
AE416,29,136,81,84,93,59,33,30,17,8,7,0,14,0,591
AE419,40,115,73,75,77,38,33,25,10,8,4,4,9,0,511
AE433,22,436,208,174,193,134,98,109,62,10,74,6,18,2,1544
AE434,1,88,56,62,97,24,14,38,9,0,2,0,12,2,403
AE435,4,59,37,34,47,26,20,13,7,0,15,0,2,1,264
AE440,7,21,8,6,2,0,1,0,0,0,0,0,0,0,45
AE441,1,51,37,13,13,1,0,1,0,0,0,0,0,0,117
AE442,112,263,227,212,245,115,75,99,42,21,30,6,26,4,1473
AE443,107,342,340,182,150,48,12,10,1,0,0,0,2,1,1194
AE451,16,16,15,12,12,3,1,5,0,0,0,0,0,0,80
AE454,12,20,13,11,5,2,1,0,0,0,0,0,0,1,64
AE460,33,642,422,241,157,36,18,9,4,0,0,0,3,2,1565
AE461,68,446,432,178,93,40,27,25,13,5,3,2,3,1,1335
AE470,7,14,12,13,8,6,4,7,1,0,1,2,2,0,77
AE480,4,21,15,7,4,2,0,0,0,0,0,0,2,0,55
AE483,366,668,176,88,71,20,18,7,5,3,6,1,10,4,1439
AE498,55,191,71,50,63,20,11,10,1,1,0,0,0,0,473
AE502,31,5,2,3,2,1,0,1,2,0,0,1,0,0,48
AE504,21,51,25,5,14,5,1,4,1,0,0,0,0,1,127
AE508,22,2,0,2,3,0,0,0,0,0,0,0,0,0,29
AE512,12,23,8,4,6,4,1,0,0,0,2,0,1,0,61
AE515,2,12,3,0,2,2,2,0,0,0,0,0,0,1,23
AE526,0,9,8,2,5,2,0,0,0,0,0,0,0,0,26
AE542,1,18,39,13,6,1,0,0,0,0,0,0,0,0,78
AE543,1,6,8,10,0,0,0,0,0,0,0,0,0,0,25
AE598,16,42,10,6,1,2,1,1,0,0,0,0,1,0,80
AFRO100,254,427,309,132,150,107,41,46,43,13,13,12,66,7,1613
AFRO101,42,115,133,124,108,54,41,25,25,9,17,8,44,5,745
AFRO103,11,88,71,39,63,40,16,10,20,7,9,7,17,0,398
AFRO105,16,75,39,25,24,12,7,7,9,2,2,1,1,2,220
AFRO132,9,400,230,146,106,71,40,31,19,17,6,7,44,4,1126
AFRO199,51,85,26,22,19,11,2,8,2,0,0,0,2,0,228
AFRO224,47,54,18,12,1,2,0,0,1,0,0,0,2,1,137
AFRO226,12,27,13,8,6,1,3,0,0,0,1,0,0,2,71
AFRO227,0,9,4,4,1,1,0,0,1,1,0,0,0,0,21
AFRO228,0,192,34,8,7,1,3,1,5,1,1,0,4,0,257
AFRO231,11,105,0,1,20,0,0,2,0,0,2,0,1,1,142
AFRO243,34,51,34,17,15,8,5,3,0,1,0,2,4,0,174
AFRO250,2,12,2,2,3,1,0,0,1,0,0,1,0,0,24
AFRO261,2,64,60,37,38,8,6,7,5,0,3,0,2,1,232
AFRO298,8,10,3,1,2,0,0,0,0,0,0,0,0,0,24
AFRO342,0,4,11,10,21,35,18,10,4,5,7,0,0,2,125
AFRO372,7,19,8,2,10,8,1,5,3,0,0,0,1,1,64
AFRO378,3,56,12,4,2,2,0,1,3,0,3,0,1,0,87
AFRO381,0,22,0,0,4,0,1,0,0,0,0,0,0,0,27
AFRO383,1,72,55,34,18,8,9,2,1,4,2,0,2,2,208
AFRO410,62,125,30,12,8,0,2,1,1,0,0,1,4,0,246
AFRO411,16,107,10,4,64,3,3,25,2,0,5,0,3,2,242
AFST210,0,41,56,31,25,14,4,8,1,0,0,0,5,0,185
AFST222,61,114,64,21,16,10,3,4,8,1,2,11,2,1,317
AGCM110,2,85,19,13,14,5,4,10,1,0,1,1,0,0,155
AGCM220,53,245,83,34,31,9,4,9,4,6,3,2,12,2,495
AGCM230,4,25,12,11,4,6,1,1,2,0,1,1,2,0,70
AGCM270,0,81,0,3,19,0,1,5,0,2,5,0,5,0,121
AGCM315,9,69,22,13,8,4,0,0,0,1,0,0,2,0,128
AGCM320,0,14,43,26,12,6,0,0,0,1,0,0,0,0,102
AGCM330,8,37,14,3,4,2,1,1,2,0,0,1,0,0,73
AGCM420,0,19,17,4,2,0,1,0,0,0,0,0,1,0,44
AGCM430,15,23,29,19,13,6,0,3,2,0,2,0,1,0,113
AGED100,33,33,5,6,4,2,2,2,2,0,0,0,3,1,92
AGED140,69,37,23,13,8,5,2,5,0,2,2,0,15,0,181
AGED220,2,5,4,0,3,2,0,2,0,1,1,0,1,0,21
AGED230,6,206,80,39,27,13,10,5,5,6,3,3,5,3,408
AGED260,440,1169,424,343,281,142,104,85,38,28,9,15,26,10,3104
AGED280,39,111,41,15,25,10,1,11,2,3,3,4,6,1,271
AGED300,25,97,16,13,14,4,1,5,3,0,0,0,0,0,178
AGED310,10,3,1,3,4,1,0,0,1,0,0,0,0,0,23
AGED340,36,64,50,18,14,4,1,1,3,4,0,0,4,0,199
AGED360,49,34,21,12,8,4,2,6,0,0,2,0,0,0,138
AGED380,185,295,241,101,73,34,11,8,6,1,3,0,7,0,965
AGED421,0,13,3,0,1,1,2,0,0,0,1,0,0,0,21
AGED430,31,19,6,4,3,2,0,0,0,0,0,0,0,0,65
AGED480,104,323,133,52,29,8,4,2,1,0,0,0,1,2,657
AGED496,0,48,0,0,3,0,0,0,0,0,0,0,0,0,51
AGED499,29,75,20,4,13,5,0,2,0,0,0,0,1,1,149
AGED550,0,10,5,2,2,2,0,1,0,0,0,0,0,0,22
AGED551,10,4,2,1,3,2,0,0,0,0,0,0,0,0,22
AHS125,42,277,0,2,20,0,0,6,0,0,3,0,2,0,352
AHS199,197,404,0,10,53,0,1,18,0,0,8,0,9,0,700
AHS365,0,34,4,1,0,0,0,0,0,0,0,0,0,0,39
AHS375,0,32,0,0,1,0,0,0,0,0,0,0,0,0,33
AHS399,13,42,2,2,2,1,0,0,1,0,0,0,0,0,63
AHS494,7,134,37,10,5,3,0,2,0,0,2,0,17,0,217
AIS101,179,778,261,172,269,68,31,58,17,3,10,0,35,10,1881
AIS140,5,15,16,7,4,1,4,1,1,0,0,0,2,0,56
AIS265,27,51,26,26,22,11,4,5,5,0,2,0,14,2,193
AIS275,10,6,1,2,3,1,0,0,0,0,1,0,2,0,26
AIS285,110,141,54,20,25,12,2,8,5,4,6,2,5,1,394
ALEC110,38,159,19,9,4,2,0,1,0,1,0,0,1,0,234
ALEC115,0,33,7,1,3,2,0,0,1,0,0,0,1,0,48
ALEC451,20,66,14,10,11,2,2,1,1,0,2,0,0,0,129
ALEC490,14,12,4,0,0,0,1,0,1,0,0,0,0,0,32
ALEC491,13,5,1,0,1,0,0,0,0,0,0,0,1,0,21
ALEC492,9,7,4,0,1,0,0,0,0,0,0,0,1,0,22
ALEC505,3,17,0,0,0,0,0,0,1,0,0,0,0,0,21
ALEC540,16,5,2,1,2,0,0,0,0,1,0,0,0,0,27
ANSC100,169,1617,13,150,865,0,77,268,2,1,33,0,22,12,3217
ANSC101,156,1511,107,100,414,33,24,87,17,9,14,3,17,7,2492
ANSC103,35,1236,1,11,18,0,0,3,0,0,3,1,2,3,1310
ANSC109,3,39,5,5,29,3,0,0,0,0,0,0,0,1,84
ANSC110,137,579,71,31,136,18,8,22,5,3,10,0,8,11,1028
ANSC120,17,7,2,2,0,0,0,1,0,0,0,1,0,0,30
ANSC198,77,29,11,6,8,5,6,2,4,0,1,0,1,0,150
ANSC199,86,78,4,7,16,2,3,1,0,0,0,1,2,1,200
ANSC201,12,52,5,1,10,1,1,0,0,0,0,1,0,0,83
ANSC205,1169,1160,179,153,237,52,45,57,18,8,22,18,60,9,3178
ANSC206,43,514,38,20,102,5,7,9,1,0,1,1,0,1,741
ANSC207,1059,2188,517,438,764,227,149,247,68,51,72,29,115,14,5924
ANSC209,1,14,0,1,5,1,0,7,0,0,0,0,0,0,29
ANSC210,42,492,6,9,44,2,1,8,1,0,2,0,12,1,619
ANSC221,94,603,95,127,634,60,105,439,35,42,122,18,76,10,2450
ANSC222,111,389,187,161,476,177,121,328,137,91,162,60,138,16,2538
ANSC223,17,685,1,155,641,0,95,261,0,33,95,0,25,5,2008
ANSC224,160,264,163,213,293,192,157,224,101,47,66,36,35,6,1951
ANSC250,2612,4472,873,639,656,318,197,195,113,57,69,39,185,22,10425
ANSC251,0,113,0,0,149,0,0,86,0,0,19,0,8,2,375
ANSC255,57,179,0,23,24,0,3,4,0,0,0,0,1,0,291
ANSC256,1,40,9,7,37,8,2,24,9,2,8,0,37,7,184
ANSC294,0,67,0,0,2,0,0,0,0,0,0,0,1,0,70
ANSC298,324,1515,32,8,175,14,1,64,1,0,22,0,26,6,2182
ANSC299,0,25,0,0,5,0,0,0,0,0,0,0,0,0,30
ANSC305,309,509,120,66,53,30,25,19,10,7,3,3,17,4,1171
ANSC306,15,248,18,28,45,6,3,6,0,0,1,0,1,0,371
ANSC307,45,156,85,106,138,49,39,65,19,13,15,13,17,2,760
ANSC309,5,121,4,13,23,5,0,7,0,0,2,0,0,1,180
ANSC321,13,20,8,8,34,6,3,13,1,0,1,0,0,2,107
ANSC322,0,24,8,4,14,7,2,6,0,0,4,0,2,0,71
ANSC331,29,61,31,45,64,13,17,25,10,5,9,3,1,1,313
ANSC350,0,318,0,15,115,5,2,56,0,0,7,0,5,1,523
ANSC362,0,4,5,5,24,18,6,15,13,1,9,1,1,0,102
ANSC363,123,354,47,59,106,12,9,17,4,0,4,1,1,0,737
ANSC370,56,129,34,32,56,20,13,15,12,10,5,4,20,2,406
ANSC398,142,244,7,6,14,1,0,5,0,0,0,1,3,1,423
ANSC400,14,30,6,4,1,1,1,0,0,0,0,0,0,0,57
ANSC401,21,329,1,31,86,0,10,10,0,1,0,0,1,0,490
ANSC402,0,244,0,0,54,0,0,4,0,0,0,0,0,0,302
ANSC403,16,10,8,3,6,0,0,3,0,0,0,0,0,0,46
ANSC404,3,54,5,1,5,1,0,0,0,0,0,0,0,0,69
ANSC406,209,247,66,40,116,48,31,43,6,7,13,0,6,0,832
ANSC407,46,70,67,30,78,39,16,31,11,6,9,7,6,1,416
ANSC409,13,223,5,6,65,0,1,18,0,0,5,0,3,0,339
ANSC420,22,119,45,37,147,19,18,68,10,9,9,4,8,0,515
ANSC421,1,11,5,5,2,1,0,0,0,0,0,0,0,0,25
ANSC422,22,512,0,3,276,0,3,104,0,0,47,2,17,2,986
ANSC424,1,124,0,10,63,0,4,11,0,0,2,0,0,0,215
ANSC431,125,227,43,57,159,19,18,62,6,8,9,2,9,2,744
ANSC437,2,23,8,6,20,14,3,5,2,0,0,1,0,0,84
ANSC438,53,247,38,15,36,3,3,8,1,1,2,0,0,1,407
ANSC442,7,10,1,2,2,0,0,0,0,0,0,0,1,0,23
ANSC444,14,54,16,12,9,2,2,2,1,0,0,0,1,0,113
ANSC445,75,111,34,14,4,4,1,0,1,0,0,0,1,1,245
ANSC446,35,85,17,18,31,9,7,16,4,0,1,0,3,0,226
ANSC450,2,201,0,3,198,0,0,75,0,0,35,0,22,2,536
ANSC452,51,417,1,16,144,0,0,58,0,0,9,2,5,4,703
