Name,Course,Rating,Difficulty,Would-Take-Again,Link
"Bojanowski, Jochen",PHIL436,2.8,3.4,50.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2857830
"Zhang, Tong",CS598,1.0,3.9,0.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3077645
"Gunasekera, Mutha",CHEM102,2.8,4.2,43.4066,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2275634
"Gunasekera, Mutha",CHEM105,2.8,4.2,43.4066,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2275634
"Gunasekera, Mutha",CHEM103,2.8,4.2,43.4066,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2275634
"Bronski, Jared",MATH285,4.5,2.8,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=936282
"Bronski, Jared",MATH231,4.5,2.8,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=936282
"Bronski, Jared",MATH299,4.5,2.8,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=936282
"Bronski, Jared",MATH286,4.5,2.8,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=936282
"Bronski, Jared",MATH441,4.5,2.8,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=936282
"Bronski, Jared",MATH241,4.5,2.8,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=936282
"Tolman, Susan",MATH241,2.4,3.7,28.5714,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=577900
"Tolman, Susan",MATH447,2.4,3.7,28.5714,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=577900
"Tolman, Susan",MATH347,2.4,3.7,28.5714,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=577900
"Tolman, Susan",MATH402,2.4,3.7,28.5714,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=577900
"Tolman, Susan",MATH290,2.4,3.7,28.5714,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=577900
"Kourtikakis, Konstantinos",PS100,4.8,2.2,94.5946,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1530312
"Kourtikakis, Konstantinos",PS348,4.8,2.2,94.5946,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1530312
"Kourtikakis, Konstantinos",PS282,4.8,2.2,94.5946,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1530312
"Kourtikakis, Konstantinos",PS385,4.8,2.2,94.5946,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1530312
"Kourtikakis, Konstantinos",PS300,4.8,2.2,94.5946,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1530312
"Kalsotra, Auinash",MCB450,4.5,3.6,85.7143,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2157991
"Price, Julie",CW100,4.9,2.0,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=355680
"Price, Julie",RHET105,4.9,2.0,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=355680
"Lariviere, David",FIN556,4.2,2.5,78.2609,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2912372
"Lariviere, David",IE421,4.2,2.5,78.2609,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2912372
"Lariviere, David",IE420,4.2,2.5,78.2609,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2912372
"Lariviere, David",IE498,4.2,2.5,78.2609,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2912372
"Lariviere, David",FIN566,4.2,2.5,78.2609,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2912372
"Lariviere, David",IE598,4.2,2.5,78.2609,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2912372
"Stevens, Andrea",ENGL218,4.9,2.0,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1197849
"Stevens, Andrea",ENGL204,4.9,2.0,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1197849
"Stevens, Andrea",ENGL117,4.9,2.0,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1197849
"Stevens, Andrea",ENGL416,4.9,2.0,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1197849
"Stevens, Andrea",ENGL200,4.9,2.0,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1197849
"Stevens, Andrea",ENGL300,4.9,2.0,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1197849
"Stevens, Andrea",ENGL465,4.9,2.0,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1197849
"Stevens, Andrea",ENGL418,4.9,2.0,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1197849
"Schuh, Jonathon",ECE110,3.9,2.5,80.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2757322
"Schuh, Jonathon",ECE330,3.9,2.5,80.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2757322
"Schuh, Jonathon",ECE210,3.9,2.5,80.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2757322
"Schuh, Jonathon",ECE445,3.9,2.5,80.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2757322
"Hale, Jon",EPOL403,4.2,2.9,92.3077,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1094188
"Hale, Jon",CI401,4.2,2.9,92.3077,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1094188
"Hale, Jon",CI403,4.2,2.9,92.3077,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1094188
"Hale, Jon",EPS400,4.2,2.9,92.3077,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1094188
"Hale, Jon",EPS405,4.2,2.9,92.3077,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1094188
"Tynes, Brendesha",EPSY430,3.4,3.1,75.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=839078
"Peecher, Mark",ACCY504,2.9,3.6,42.8571,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1091990
"Peecher, Mark",ACCY405,2.9,3.6,42.8571,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1091990
"Peecher, Mark",ACCY500,2.9,3.6,42.8571,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1091990
"Venerable, Walter",PSYC238,4.1,3.3,77.7778,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2784537
"Venerable, Walter",PSYC100,4.1,3.3,77.7778,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2784537
"Mumford, Kevin",HIST276,1.4,4.4,12.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2364326
"Mumford, Kevin",HIST281,1.4,4.4,12.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2364326
"Mumford, Kevin",HIST273,1.4,4.4,12.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2364326
"Mumford, Kevin",HIST377,1.4,4.4,12.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2364326
"Osswald, Benjamin",ACCY312,5.0,3.0,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2912359
"Mehrtens, Bradley",MCB150,3.6,4.0,37.037,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=381154
"Gist, Toni",FSHN101,4.9,1.9,97.619,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2320708
"Gist, Toni",FSHN120,4.9,1.9,97.619,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2320708
"Gist, Toni",ACES101,4.9,1.9,97.619,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2320708
"Gist, Toni",FSHN199,4.9,1.9,97.619,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2320708
"Nowak, Michael",CS128,2.1,4.0,24.7863,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2685082
"Nowak, Michael",CS199,2.1,4.0,24.7863,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2685082
"Buckley, Bryan",ECON415,3.8,2.9,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1926164
"Buckley, Bryan",ECON418,3.8,2.9,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1926164
"Buckley, Bryan",ECON302,3.8,2.9,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1926164
"Buckley, Bryan",NPRE480,3.8,2.9,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1926164
"Buckley, Bryan",ECON482,3.8,2.9,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1926164
"Buckley, Bryan",ECON490,3.8,2.9,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1926164
"Buckley, Bryan",ECON103,3.8,2.9,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1926164
"Aravamudan, Bharathi",MCB244,1.1,4.8,0.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3031743
"Aravamudan, Bharathi",MCB245,1.1,4.8,0.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3031743
"Petrickova, Sarka",MATH221,3.8,3.4,73.913,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2299023
"Petrickova, Sarka",MATH241,3.8,3.4,73.913,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2299023
"Petrickova, Sarka",MATH220,3.8,3.4,73.913,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2299023
"Petrickova, Sarka",MATH231,3.8,3.4,73.913,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2299023
"Petrickova, Sarka",MATH347,3.8,3.4,73.913,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2299023
"Petrickova, Sarka",MATH412,3.8,3.4,73.913,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2299023
"Petrickova, Sarka",MATH125,3.8,3.4,73.913,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2299023
"Ahlgren, Scott",MATH417,4.7,3.0,96.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=410118
"Ahlgren, Scott",MATH347,4.7,3.0,96.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=410118
"Ahlgren, Scott",MATH453,4.7,3.0,96.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=410118
"Ahlgren, Scott",MATH231,4.7,3.0,96.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=410118
"Ahlgren, Scott",MATH299,4.7,3.0,96.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=410118
"Ahlgren, Scott",MATH249,4.7,3.0,96.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=410118
"Liu, Hongye",CS361,2.2,3.4,25.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2527253
"Alvarez, Juan",ECE210,2.0,4.1,27.7778,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2106312
"Alvarez, Juan",ECE313,2.0,4.1,27.7778,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2106312
"Alvarez, Juan",ECE459,2.0,4.1,27.7778,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2106312
"Alvarez, Juan",ECE361,2.0,4.1,27.7778,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2106312
"Hoganson, Kristin",HIST380,3.2,3.0,40.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=211569
"Hoganson, Kristin",HIST274,3.2,3.0,40.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=211569
"Lazebnik, Svetlana",ECE549,2.7,3.5,44.4444,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1832200
"Lazebnik, Svetlana",CS444,2.7,3.5,44.4444,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1832200
"Lazebnik, Svetlana",CS498,2.7,3.5,44.4444,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1832200
"Lazebnik, Svetlana",CS440,2.7,3.5,44.4444,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1832200
"Lazebnik, Svetlana",CS598,2.7,3.5,44.4444,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1832200
"Shinew, Kimberly",RST260,4.0,1.5,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1599038
"Shinew, Kimberly",RST100,4.0,1.5,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1599038
"Shinew, Kimberly",RST101,4.0,1.5,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1599038
"Shinew, Kimberly",RST429,4.0,1.5,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1599038
"Hall, Steven",ADV150,5.0,1.0,91.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2633701
"Hall, Steven",ADV300,5.0,1.0,91.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2633701
"Meyers, John",AFRO132,4.7,2.2,90.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2633210
"Meyers, John",AFRO228,4.7,2.2,90.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2633210
"Meyers, John",GCL145,4.7,2.2,90.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2633210
"Leditzky, Felix",MATH257,4.0,3.8,60.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2757147
"Leditzky, Felix",MATH595,4.0,3.8,60.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2757147
"Leditzky, Felix",MATH416,4.0,3.8,60.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2757147
"Stelzer, Timothy",PHYS211,4.6,3.0,97.4026,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=57225
"Stelzer, Timothy",PHYS212,4.6,3.0,97.4026,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=57225
"Stelzer, Timothy",PHYS102,4.6,3.0,97.4026,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=57225
"Fleck, Margaret",CS440,3.9,3.1,61.5385,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1169737
"Fleck, Margaret",CS100,3.9,3.1,61.5385,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1169737
"Fleck, Margaret",CS173,3.9,3.1,61.5385,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1169737
"Fleck, Margaret",CS196,3.9,3.1,61.5385,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1169737
"Claborn, John",ENGL301,4.9,1.5,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=799264
"Claborn, John",ENGL104,4.9,1.5,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=799264
"Claborn, John",ENGL259,4.9,1.5,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=799264
"Claborn, John",BTW250,4.9,1.5,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=799264
"Claborn, John",BTW261,4.9,1.5,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=799264
"Claborn, John",RHET233,4.9,1.5,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=799264
"Claborn, John",ENGL256,4.9,1.5,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=799264
"Claborn, John",ENGL101,4.9,1.5,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=799264
"Holder, Gilbert",PHYS102,4.3,2.9,70.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2291719
"Holder, Gilbert",PHYS325,4.3,2.9,70.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2291719
"Holder, Gilbert",PHYS212,4.3,2.9,70.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2291719
"Holder, Gilbert",PHYS211,4.3,2.9,70.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2291719
"Morales Aguirre, Marco",CS441,1.2,2.8,0.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2719900
"Morales Aguirre, Marco",CS498,1.2,2.8,0.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2719900
"Natale, Marisa",HIST199,1.6,3.3,11.1111,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3006714
"Natale, Marisa",HIST269,1.6,3.3,11.1111,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3006714
"Natale, Marisa",HIST100,1.6,3.3,11.1111,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3006714
"Froedge, Stephen",CLCV115,4.9,2.4,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1921433
"Froedge, Stephen",CLCV102,4.9,2.4,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1921433
"Cvetkovic, Caroline",BIOE120,4.0,3.0,50.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2723168
"Cvetkovic, Caroline",BIOE303,4.0,3.0,50.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2723168
"Cvetkovic, Caroline",BIOE360,4.0,3.0,50.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2723168
"Sowers, Richard",IE534,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",MATH241,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",IE525,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",IE434,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",IE498,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",IE526,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",SE261,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",ASRM406,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",MATH461,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",IE300,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",MATH410,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",IE410,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",MATH441,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",IE522,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",MATH424,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",MATH562,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Sowers, Richard",MATH561,1.4,4.2,4.5977,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=257568
"Yu, Albert",STAT400,4.6,2.5,86.0759,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2596586
"Yu, Albert",STAT200,4.6,2.5,86.0759,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2596586
"Yu, Albert",STAT212,4.6,2.5,86.0759,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2596586
"Yu, Albert",STAT100,4.6,2.5,86.0759,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2596586
"Yu, Albert",STAT425,4.6,2.5,86.0759,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2596586
"Federmeier, Kara",PSYC450,4.0,3.4,85.7143,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=636861
"Federmeier, Kara",PSYC224,4.0,3.4,85.7143,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=636861
"Federmeier, Kara",BCOG100,4.0,3.4,85.7143,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=636861
"Cohen, Dov",PSYC333,2.9,3.2,20.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=731443
"Cohen, Dov",PSYC332,2.9,3.2,20.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=731443
"Caesar, Matthew",CS437,4.2,3.3,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1233560
"Caesar, Matthew",CS498,4.2,3.3,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1233560
"Caesar, Matthew",ECE435,4.2,3.3,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1233560
"Caesar, Matthew",CS438,4.2,3.3,71.4286,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1233560
"VanHook, Cortney",SOCW514,1.5,2.5,0.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2976701
"Flanagan, Karle",STAT100,4.9,1.9,96.8037,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1876600
"Flanagan, Karle",STAT107,4.9,1.9,96.8037,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1876600
"Flanagan, Karle",STAT200,4.9,1.9,96.8037,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1876600
"Goodman, Matthew",MSE101,2.8,2.9,46.1538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2208076
"Goodman, Matthew",MSE280,2.8,2.9,46.1538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2208076
"Goodman, Matthew",MSE494,2.8,2.9,46.1538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2208076
"Goodman, Matthew",MSE495,2.8,2.9,46.1538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2208076
"Goodman, Matthew",TE100,2.8,2.9,46.1538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2208076
"Goodman, Matthew",MSE395,2.8,2.9,46.1538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2208076
"Goodman, Matthew",MSE398,2.8,2.9,46.1538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2208076
"Goodman, Matthew",MSE206,2.8,2.9,46.1538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2208076
"Goodman, Matthew",ENG598,2.8,2.9,46.1538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2208076
"Goodman, Matthew",ENG198,2.8,2.9,46.1538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2208076
"Lleras, Alejandro",PSYC230,4.2,2.4,84.2105,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1411689
"Simons, Daniel",PSYC235,4.6,2.8,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1085359
"Simons, Daniel",PSYC103,4.6,2.8,100.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1085359
"Rodriguez, Randy",PS316,3.5,2.7,40.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2865611
"Rodriguez, Randy",LLS240,3.5,2.7,40.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2865611
"Rodriguez, Randy",LLS250,3.5,2.7,40.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2865611
"Wang, Yi",MATH231,4.3,3.0,66.6667,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3074887
"Martinez, Candace",BADM380,1.2,4.7,4.9587,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2324845
"Martinez, Candace",BADM381,1.2,4.7,4.9587,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2324845
"Martinez, Candace",BADM449,1.2,4.7,4.9587,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2324845
"Martinez, Candace",BADM582,1.2,4.7,4.9587,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2324845
"Martinez, Candace",BUS401,1.2,4.7,4.9587,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2324845
"Martinez, Candace",BADM550,1.2,4.7,4.9587,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2324845
"Martinez, Candace",BADM583,1.2,4.7,4.9587,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2324845
"Martinez, Candace",BADM501,1.2,4.7,4.9587,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2324845
"Martinez, Candace",BADM586,1.2,4.7,4.9587,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2324845
"Martinez, Candace",BADM446,1.2,4.7,4.9587,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2324845
"Vargas, Patrick",ADV581,3.3,3.8,53.8462,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=155216
"Vargas, Patrick",ADV393,3.3,3.8,53.8462,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=155216
"Vargas, Patrick",SBC506,3.3,3.8,53.8462,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=155216
