subject,course_code,title,credits,prerequisites,gened,subcategories
ABE,227,Computer-Aided Problem-Solving for ABE I ,3,"One of MATH 220, MATH 221, MATH 234",,
ABE,228,Computer-Aided Problem-Solving for ABE II ,3,"One of MATH 220, MATH 221, MATH 234",,
ABE,232,Context in International Interventions ,3,,"SBS, CS","SS, NW"
ABE,340,Thermodynamics for Agricultural and Biological Engineering ,3,MATH 241,,
ABE,341,Transport Processes in ABE ,3,ABE 227 and ABE 228,,
ABE,361,Functional Analysis and Design of Agricultural Machine Systems ,3,TAM 212,,
ABE,397,Independent Study ,1 to 4,Consent of instructor,,
ABE,398,Special Topics ,1 to 3,,,
ABE,425,Engrg Measurement Systems ,4,ECE 205,,
ABE,426,Principles of Mobile Robotics ,4,"MATH 221, MATH 225, and MATH 285, or ABE 415, or ABE 440, IE 300, or STAT 400 or equiv, CS 125 or equiv",,
ABE,430,Project Management ,2,,,
ABE,436,Renewable Energy Systems ,3 or 4,PHYS 211,,
ABE,445,Statistical Methods ,4,,,
ABE,446,Biological Nanoengineering ,3 or 4,MCB 150,,
ABE,450,International Water Project I ,3,,,
ABE,451,International Water Project II ,3,ABE 450 or instructor approval,,
ABE,452,Engineering for Disaster Resilience ,3 or 4,,,
ABE,454,Environmental Soil Physics ,3,TAM 335 or NRES 201 or consent of instructor,,
ABE,455,Erosion and Sediment Control ,2,CEE 350 or NRES 401; CEE 380 or NRES 201,,
ABE,456,Land & Water Resources Engrg ,3 or 4,Credit or concurrent registration in TAM 335,,
ABE,457,NPS Pollution Processes ,2,ABE 224 or CEE 350,,
ABE,458,NPS Pollution Modeling ,2,ABE 457,,
ABE,459,Drainage and Water Management ,3 or 4,Credit or concurrent registration in TAM 335,,
ABE,466,Engineering Off-Road Vehicles ,3,ABE 340 or ME 200,,
ABE,469,Capstone Design Experience ,4,Current senior standing in an engineering major,ACP,
ABE,476,Indoor Air Quality Engineering ,4,"PHYS 213, MATH 285, and TAM 335",,
ABE,482,Package Engineering ,3,,,
ABE,483,Engineering Properties of Food Materials ,3,Restricted to Grainger Engineering Seniors or Graduate students,,
ABE,488,Bioprocessing Biomass for Fuel ,4,ABE 340 or ME 200 or CHBE 321,,
ABE,497,Independent Study ,1 to 4,Consent of instructor,,
ABE,498,Special Topics ,1 to 4,,,
ABE,501,Graduate Seminar: Foundations of Success ,1,Restricted to ABE or ETMAS programs,,
ABE,502,Graduate Seminar: Advanced Career Skills ,1,Restricted to ABE or ETMAS programs,,
ABE,503,"Graduate Seminar: Integrity, Teaching and Research ",1,Restricted to ABE or ETMAS programs,,
ABE,526,Autonomous Systems and Robots ,4,"MATH 225; MATH 416, or equivalent; STAT 400, MATH 461 or equivalent",,
ABE,532,Advanced Contextual Design ,4,,,
ABE,594,Graduate Seminar ,0,,,
ABE,597,Independent Study ,1 to 4,Consent of instructor,,
ABE,598,Special Topics ,1 to 4,,,
ABE,599,Thesis Research ,0 to 16,,,
ACCY,199,Undergraduate Open Seminar ,1 to 5,,,
ACCY,200,Fundamentals of Accounting ,3,Sophomore standing,,
ACCY,201,Accounting and Accountancy I ,3,"Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course",,
ACCY,202,Accounting and Accountancy II ,3,ACCY 201 or equivalent,,
ACCY,290,Prof Internship in Accountancy ,0 to 3,Open to Department of Accountancy students; completion of ACCY 201 and ACCY 202 (or equivalent); and consent of department,,
ACCY,301,Atg Measurement & Disclosure ,3,ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors,,
ACCY,302,Decision Making for Atg ,3,ACCY 202 or equivalent; BADM 210 or concurrent enrollment or equivalent; and recommend concurrent enrollment in ACCY 301 for Accountancy majors,,
ACCY,303,Accounting Institutions and Regulation ,3,ACCY 301 and FIN 221,,
ACCY,304,Accounting Control Systems ,3,ACCY 301 and ACCY 302,,
ACCY,312,Principles of Taxation ,3,ACCY 202 or equivalent,,
ACCY,321,Principles of Public Policy ,3,,,
ACCY,375,Career Pathways in Accountancy ,1,Restricted to Gies College of Business Accountancy and Accountancy + DS majors and/or intention to declare Accountancy major,,
ACCY,398,Practical Problems in Atg ,0 to 16,Consent of the Department,,
ACCY,405,Assurance and Attestation ,3,ACCY 304 or consent of department,,
ACCY,410,Advanced Financial Reporting ,3 or 4,ACCY 303 or consent of department,,
ACCY,415,Auditing Stds and Practice ,3,ACCY 304 or consent of department,,
ACCY,419,Financial Accounting for Governmental and Nonprofit Entities ,3 or 4,ACCY 301 or ACCY 501 or consent of department,,
ACCY,449,Tax in Action - VITA ,1 or 2,ACCY 312 or ACCY 505 or concurrent enrollment in either or consent of the department,,
ACCY,451,Advanced Income Tax Problems ,3 or 4,Senior standing and ACCY 312,,
ACCY,499,Senior Research ,2 to 4,Cumulative grade-point average of 3,,
ACCY,500,"Accounting Measurement, Reporting, and Control ",2 or 4,Enrollment in a non-accountancy masters program in business or consent of department,,
ACCY,501,Accounting Analysis I ,2 or 4,Enrollment in graduate degree program or consent of department,,
ACCY,502,Accounting Analysis II ,2 or 4,ACCY 501 or equivalent; enrollment in graduate degree program or consent of department,,
ACCY,503,Managerial Accounting ,2 or 4,Credit or concurrent registration in ACCY 501 or equivalent; enrollment in graduate degree program or consent of department,,
ACCY,504,Auditing ,2 or 4,"Credit or concurrent registration in ACCY 502, or equivalent; enrollment in graduate degree program or consent of department",,
ACCY,505,Federal Taxation ,2 or 4,Enrollment in graduate degree program or consent of department,,
ACCY,506,Advanced Topics in Accounting ,4,"ACCY 501, and credit or concurrent enrollment in ACCY 502",,
ACCY,507,Taxation of Business Entities ,2 or 4,ACCY 505 or equivalent,,
ACCY,510,Financial Reporting Standards ,4,ACCY 410 and enrollment in the BS/MAS in Accountancy program or consent of department,,
ACCY,511,External Risk Measurement and Reporting ,4,"ACCY 410 and FIN 300, or equivalent, and enrollment in graduate accounting degree program; or consent of department",,
ACCY,512,Data Analytics for Management Accounting ,4,Enrollment in graduate accounting degree program or consent of department,,
ACCY,515,Auditing & Assurance Standards ,4,ACCY 405 and enrollment in the BS/MS in Accountancy program or consent of department,,
ACCY,516,Professional Responsibility and Ethics for Accountants ,3 or 4,,,
ACCY,517,Financial Statement Analysis and Valuation ,2 or 4,ACCY 410 or concurrent enrollment; or ACCY 500 or equivalent; or ACCY 502 or equivalent; and enrollment in graduate degree program or consent of department,,
ACCY,518,Financial Statement Fraud ,4,Enrollment in graduate accounting degree program or consent of the department,,
ACCY,519,Governmental and Nonprofit Accounting ,4,ACCY 501 or consent of department,,
ACCY,531,Financial Statement Analysis for MBAs ,4,"ACCY 500 or equivalent, and enrollment in graduate degree program or consent of department",,
ACCY,532,Accounting for Mergers & Acquisitions and Other Complex Transactions ,4,"Requires that students have a grasp of core accounting principles and have a basic knowledge of concepts in finance (time value of money, etc",,
ACCY,550,Multistate Taxation ,2,"Credit or concurrent enrollment in ACCY 451, ACCY 507, or equivalent or consent of the department",,
ACCY,551,Corporate Income Taxation ,4,"ACCY 451, credit or concurrent enrollment in ACCY 556, or equivalent or consent of department",,
ACCY,552,Partnership Income Taxation ,4,"ACCY 451, credit or concurrent enrollment in ACCY 556, or equivalent or consent of department",,
ACCY,553,Selected Topics in Fed Tax ,2 to 4,ACCY 451 or consent of department,,
ACCY,554,International Taxation ,2 or 4,Credit or concurrent enrollment in ACCY 451 or equivalent or consent of the department,,
ACCY,555,Income Tax Accounting ,2,Restricted to students enrolled in the MS in Taxation Program,,
ACCY,556,Tax Research ,1 to 4,"Credit or concurrent enrollment in ACCY 451, or equivalent or consent of department",,
ACCY,557,Accounting Periods and Methods ,2,,,
ACCY,558,Taxation of Closely-Held Bus. ,4,,,
ACCY,559,Tax Policy ,2,,,
ACCY,561,Taxes and Business Strategy ,4,Concurrent enrollment with ACCY 557 or consent of instructor,,
ACCY,562,Tax Procedures ,2,,,
ACCY,563,Consolidated Returns ,2,,,
ACCY,564,Reorganizations ,2,,,
ACCY,569,Data Driven Decisions in Accounting ,2,,,
ACCY,570,Data Analytics Foundations for Accountancy ,2 or 4,Enrollment in graduate accounting program or consent of the department,,
ACCY,571,Statistical Analyses for Accountancy ,2 or 4,Enrollment in graduate accounting program or consent of the department,,
ACCY,574,Risk Management and Innovation ,4,Enrollment in MAS or MSA program,,
ACCY,575,Data Analytics Applications in Accountancy ,4,ACCY 570,,
ACCY,576,Data Preparation for Accounting ,2,,,
ACCY,577,Machine Learning for Accounting ,2,ACCY 576,,
ACCY,578,Accounting Analytics Applications ,1,"Some sections require the completion of ACCY 576 (or equivalent), and are denoted as requiring this prerequisite",,
ACCY,585,Constructs in Atg Research ,4,MATH 463 and ECON 502,,
ACCY,590,Adv Prof Internship in ACCY ,0 to 4,Open only to accountancy majors enrolled in the department's integrated bachelor/master program or students with graduate standing in accountancy; completion of 300-level accountancy courses appropriate to internship learning plan; and consent of department,,
ACCY,592,Introduction to Accounting Research ,4,"Courses in behavioral science, mathematics, and economics; or equivalent background and admission to the accountancy Ph",,
ACCY,593,Special Research Problems ,1 to 8,Enrollment in graduate accounting degree program or consent of department,,
ACCY,594,Doctoral Research Seminar ,4,Credit or concurrent registration in ACCY 592 or consent of department,,
ACCY,595,Models of Decision and Choice ,4,,,
ACCY,599,Thesis Research ,0 to 16,,,
ACE,100,Introduction to Applied Microeconomics ,4,,SBS,SS
ACE,123,Introduction to ACE ,2,,,
ACE,161,Microcomputer Applications ,3,,,
ACE,199,Undergraduate Open Seminar ,1 to 5,,,
ACE,203,Introduction to Public Policy and Law ,3,,,
ACE,210,Environmental Economics ,3,,SBS,SS
ACE,220,Introduction to Sales: Principles and Strategies ,3,,,
ACE,221,Negotiation ,2,,,
ACE,222,Agricultural Marketing ,3,,,
ACE,231,Food and Agribusiness Mgt ,3,,,
ACE,232,Farm Management ,3,,,
ACE,240,Personal Financial Planning ,3,,,
ACE,241,Advanced Personal Finance ,3,ACE 240 and a Quantitative Reasoning course,,
ACE,242,"Women, Money, and Power ",2,,,
ACE,243,Money and Happiness ,3,ACE 240 (or other financial planning background) is recommended but not required,,
ACE,251,The World Food Economy ,3,ACE 100 or ECON 102 or consent of instructor,"SBS, CS","SS, NW"
ACE,254,Economic Systems in Africa ,3,,"SBS, CS","SS, NW"
ACE,255,Economics of Food and Environmental Justice ,3,,"SBS, CS","SS, US"
ACE,262,Applied Statistical Methods and Data Analytics I ,3,,QR,QR1
ACE,264,Applied Statistical Methods & Data Analytics 2 ,3,ACE 262 or equivalent,,
ACE,270,Consumer Economics ,3,ACE 100 or ECON 102,,
ACE,291,Ag Policy & Leadership ,3,Junior or Senior standing required or the approval of the instructor,,
ACE,292,"Farm, Food & Environmental Policy ",3,"Sophomore, Junior or Senior standing required AND approval of the instructor",,
ACE,293,Off-Campus Internship ,1 to 4,"Sophomore standing, cumulative GPA of 2",,
ACE,294,On-Campus Internship ,1 to 4,"Sophomore standing, cumulative GPA of 2",,
ACE,295,Independent Study ,1 to 4,Cumulative GPA of 2,,
ACE,300,Intermediate Applied Microeconomics ,3,"ACE 100 or ECON 102; MATH 220, MATH 221, MATH 234, or equivalent",,
ACE,306,Food Law ,3,,,
ACE,310,Natural Resource Economics ,3,ACE 100 or ECON 102,,
ACE,321,Principles of Public Policy ,3,,,
ACE,335,Food Marketing and Behavior ,3,,,
ACE,341,Issues&Careers in Applied Econ ,1 or 2,,,
ACE,344,FinTech in Personal Finance and Financial Planning ,3,ACE 240 or FIN 232,,
ACE,345,Finan Decision Indiv Sm Bus ,3,"ACCY 201 or equivalent, or consent of instructor",,
ACE,346,Tax Policy and Finan Planning ,3,Sophomore standing,,
ACE,349,Risk Management and Financial Planning Across the Life Cycle ,3,ACE 240 or FIN 232,,
ACE,360,Spreadsheet Models and Applications ,2,"ACE 161, CS 105, or consent of instructor",,
ACE,396,Honors Research or Thesis ,1 to 4,"Junior standing, admission to the ACES Honors Program, and consent of instructor",,
ACE,398,Experiential Learning ,1 to 3,,,
ACE,403,Agricultural Law ,3 to 4,Junior standing,,
ACE,406,Environmental Law ,3 or 4,Sophomore or higher standing,,
ACE,410,Energy Economics ,3 or 4,ACE 300 or equivalent,,
ACE,411,Environment and Development ,3 or 4,ACE 300 or ECON 302,,
ACE,417,Climate Change Economics and Policy ,3 or 4,ACE 100 or equivalent or consent of the instructor,,
ACE,427,Commodity Price Analysis ,3,"ACE 100 or ECON 102; ACE 262, or equivalent",,
ACE,428,Commodity Futures and Options ,3,ACE 222 or FIN 300 or equivalent,,
ACE,430,Food Marketing ,3,ACE 100 or ECON 102,,
ACE,431,Agri-food Strategic Management ,3,"ACE 231, BADM 320, or ACE 222; or consent of instructor",,
ACE,432,Advanced Farm Management ,3 or 4,ACE 232,,
ACE,435,Global Agribusiness Management ,3,ACE 262 or equivalent or consent of instructor,,
ACE,436,International Business Immersion ,3 or 4,Consent of instructor,,
ACE,440,Finan Plan for Professionals ,3 or 4,"Concurrent enrollment in or completion of ACE 345, ACE 346, ACE 444, and ACE 449",,
ACE,441,FINRA Professional Exam Review ,3,ACE 240 or FIN 232; ACE 349 or FIN 230; ACE 444 or FIN 441; and ACE 449,,
ACE,444,Financial Services & Investing Planning ,3 or 4,"ACE 345, or FIN 221, or consent of instructor",,
ACE,445,Intermediate Financial and Estate Planning ,4,ACE 240 or FIN 232; ACE 300 or ECON 302; or consent of instructor,,
ACE,446,Modeling App's Finan Plan ,2,"One of ACE 240, ACE 345, FIN 221 or FIN 232; or consent of instructor and knowledge of spreadsheet software equivalent to the coverage of ACE 360",,
ACE,449,Retirement & Benefit Planning ,3 or 4,"ACE 240, ACE 345, or consent of instructor",,
ACE,451,Agriculture in Intl Dev ,3 or 4,"ACE 300, ECON 302 or consent of instructor",,
ACE,452,The Latin American Economies ,3 or 4,,,
ACE,455,International Trade in Food and Agriculture ,3,"ACE 300, ECON 302, or consent of instructor",,
ACE,456,Agricultural and Food Policies ,3 or 4,"ACE 300, ECON 302, or consent of instructor",,
ACE,471,Consumer Economic Policy ,3,ACE 100 or equivalent and junior standing,,
ACE,474,Economics of Consumption ,3 or 4,ACE 270; and either ACE 300 or ECON 302; and a course in statistics; or consent of instructor,,
ACE,476,Behavioral Economics and Financial Decision Making ,3 or 4,"ACE 300, ECON 302 or consent of instructor; a course in statistics",,
ACE,499,Contemporary Topics in ACE ,1 to 4,,,
ACE,500,Applied Economic Theory ,4,,,
ACE,501,Risk and Info: Theory and App ,4,Concurrent enrollment in ECON 500 and ECON 506,,
ACE,502,Demand/Supply/Firms/Households ,4,ECON 500 and ACE 501,,
ACE,503,Equilibrium and Welfare Econ ,4,ECON 500 and at least two semesters of college calculus,,
ACE,504,Foundational Microeconomic Theory ,4,"MATH 220, MATH 221, MATH 231, MATH 415 and ACE Math Camp",,
ACE,505,Empirical Methods in Applied Economics ,4,ECON 502 or equivalent,,
ACE,510,Adv Natural Resource Economics ,4,ECON 302 or equivalent,,
ACE,516,Environmental Economics ,4,,,
ACE,520,Time Series Econometrics for Price Analysis ,4,"ACE 562 and ACE 563, and ECON 500; or equivalent",,
ACE,527,Advanced Price Analysis ,4,ACE 562 or ECON 507 and ECON 500; or equivalent,,
ACE,528,Research in Futures Markets ,4,ECON 500 or equivalent,,
ACE,530,Microeconometrics ,4,"ECON 506 and ECON 507, or equivalent",,
ACE,531,Impact Evaluation ,2,ACE 500 or ECON 500 or equivalent,,
ACE,532,Network Econometrics & Supply Chain Analysis ,4,"ACE 562, ACE 564, ECON 535, or the equivalent; or consent of the instructor",,
ACE,542,Advanced Agricultural Finance ,4,"ECON 500, calculus, and mathematical statistics, or equivalent; at least one course in finance strongly recommended; or consent of instructor",,
ACE,544,Global Agriculture and Supply Chains ,4,"Restricted to current graduate students in the iMBA, iMSM, iMSA, JP:iMBA/iMSA, and MAAE degree programs, and the Agribusiness and Sustainable Food Production Economics graduate certificate",,
ACE,545,Risk and Decision-Making in Agriculture ,4,"Restricted to current graduate students in the iMBA, iMSM, iMSA, JP:iMBA/iMSA, and MAAE degree programs, and the Agribusiness and Sustainable Food Production Economics graduate certificate",,
ACE,546,Agriculture as an Asset Class ,2,"Restricted to current graduate students in the iMBA, iMSM, iMSA, JP:iMBA/iMSA, and MAAE degree programs, and the Agribusiness and Sustainable Food Production Economics graduate certificate",,
ACE,547,Modern Issues in Food & Agriculture ,2,"Restricted to current graduate students in the iMBA, iMSM, iMSA, JP:iMBA/iMSA, and MAAE degree programs, and the Agribusiness and Sustainable Food Production Economics graduate certificate",,
ACE,557,"Food, Poverty and Development ",2,ACE 500 or ACE 501 or ECON 500 and basic econometrics,,
ACE,559,"Food, Trade and Development ",2,,,
ACE,561,Adv Res and Scholarly Comm ,4,Consent of instructor,,
ACE,562,Applied Regression Models I ,2,"ACE 262 or equivalent; one of MATH 220, MATH 221, MATH 234",,
ACE,563,Math Program App Econ I ,2,"MATH 124; one of MATH 220, MATH 221, MATH 234",,
ACE,564,Applied Regression Models II ,2,ACE 562 or equivalent,,
ACE,569,Career Development for PhDs ,1,ACE 561,,
ACE,571,Household Economics ,2,ECON 500 or equivalent,,
ACE,580,Taxation and Regulation of Alternative Investments ,4,"Restricted to Agricultural & Applied Economics, MAAE, and the Land, Agriculture, and Alternative Investing graduate certificate programs",,
ACE,581,Financial Lifecycles and Alternative Investments ,4,"Restricted to Agricultural & Applied Economics, MAAE, and the Land, Agriculture, and Alternative Investing graduate certificate programs",,
ACE,582,Theory and Portfolio Dynamics of Alternative Investments ,4,"Restricted to Agricultural & Applied Economics, MAAE, and the Land, Agriculture, and Alternative Investing graduate certificate programs",,
ACE,591,Independent Study ,0 to 8,,,
ACE,592,Special Topics ,0 to 8,,,
ACE,594,Seminars and Workshops ,0 to 8,,,
ACE,599,Thesis Research ,0 to 16,,,
ACES,101,Contemporary Issues in ACES ,2,,,
ACES,102,Intro Sustainable Food Systems ,3,,NAT,LS
ACES,179,History of Ag in IL Since 1860 ,3,,"CS, HUM","HP, US"
ACES,199,Undergraduate Open Seminar ,1 to 5,,,
ACES,200,ACES Transfer Orientation ,0,,,
ACES,293,International Internship ,0 to 5,Written consent of ACES Study Abroad Office,,
ACES,295,Undergrad Research or Thesis ,1 to 4,GPA of 3,,
ACES,298,International Experience ,1 to 9,Written consent of ACES Study Abroad Office,,
ACES,299,ACES Study Abroad ,0 to 18,"Consent of major department, college, and Study Abroad Office",,
ACES,396,Honors Study Abroad Retrospect ,1 or 2,Consent of instructor,,
ACES,399,Honors Seminar ,1,James Scholars enrolled in the College of ACES with preference given to those with junior or senior standing,,
ACES,499,Interdisciplinary ACES Seminar ,0 to 4,,,
ADV,150,Introduction to Advertising ,3,,SBS,SS
ADV,175,Introduction to Multicultural Advertising ,3,,CS,US
ADV,199,Undergraduate Seminar ,1 to 5,,,
ADV,200,Data Literacy ,3,,QR,QR1
ADV,201,Social Media and Personal Branding ,3,,,
ADV,212,Advertising History ,3,,HUM,HP
ADV,222,Copywriting ,3,ADV 150,,
ADV,250,Advertising and Brand Strategy ,3,,,
ADV,270,Principles of Sales ,3,,,
ADV,280,Introduction to Advertising Media ,3,,,
ADV,281,Advertising Research Methods ,3,STAT 100 or equivalent or ADV 200,,
ADV,284,Consumer Insight ,3,,,
ADV,290,Special Topics in Advertising ,1 to 3,,,
ADV,301,Becoming an Influencer ,3,,,
ADV,305,Advertising Technology and the Digital World ,3,,SBS,SS
ADV,310,Intro to Public Relations ,3,,,
ADV,311,Classic Campaigns ,3,,,
ADV,314,Sports Public Relations ,3,"Restricted to students with Sophomore, Junior, or Senior class standing",,
ADV,320,Sales Management ,3,,,
ADV,333,Agency Experience ,3,"ADV 250, ADV 284, or instructor approval",,
ADV,350,Writing for Public Relations ,3,ADV 310,,
ADV,360,Innovations in Advertising ,3,ADV 250 or ADV 283; ADV 284,,
ADV,370,Sales and the Consumer ,3,,,
ADV,376,Global Advertising ,3,"Restricted to students with Sophomore, Junior, or Senior status","SBS, CS","SS, WCC"
ADV,378,Psychology of Advertising ,3,ADV 281 or equivalent,SBS,SS
ADV,390,Content Creation ,3,,,
ADV,392,Advertising Immersion ,0 to 6,,,
ADV,393,Advertising and Society ,3,"Restricted to students with Sophomore, Junior, or Senior class standing",SBS,SS
ADV,396,Research Experience in Advertising ,1 to 3,"ADV 150, ADV 281, or written consent of instructor",,
ADV,399,Advertising Study Abroad ,1 to 5,"One academic year (or one semester in the case of transfer students) in residence at UIUC, good academic standing, completion of at least thirty semester hours toward the bachelor's degree, and prior approval of the Department of Advertising",,
ADV,400,Special Problems ,0 to 3,Written research proposal and consent of department,,
ADV,409,Media Entrepreneurship ,3,Junior or senior standing in the College of Media,,
ADV,410,Public Relations Strategies ,3,ADV 310,,
ADV,452,Creative Concepts I ,3 or 4,ADV 390 and consent of instructor (required),,
ADV,454,Creative Concepts II ,3,ADV 452,,
ADV,461,Computational Advertising ,3,ADV 460,,
ADV,462,Computational Advertising Infrastructure ,3 or 4,,,
ADV,475,Multicultural Advertising ,3,,,
ADV,476,Global Advertising ,3,ADV 150 or equivalent,"SBS, CS","SS, WCC"
ADV,478,Psychology of Advertising ,3,ADV 281 or equivalent,SBS,SS
ADV,480,Social Media Analytics ,3,"Restricted to students with Junior, Senior, or Graduate class standing",,
ADV,482,Qualitative Research Methods in Advertising ,3,,,
ADV,483,Audience Analysis ,3,ADV 250 or ADV 283 and ADV 284,,
ADV,484,Quantitative Research Methods ,3,ADV 281,,
ADV,490,Advanced Special Topics in Advertising ,1 to 3,Announced separately for each topic,,
ADV,491,Digital Content and Social Media Management ,3,"Restricted to students with Junior, Senior, or Graduate class standing",,
ADV,492,Tech and Advertising Campaigns ,3,CS 225 or consent of instructors,,
ADV,494,Persuasion Consumer Response ,3,ADV 281,,
ADV,495,Internship Seminar ,0 to 1,Consent of instructor,,
ADV,496,UG Research Project ,1 to 3,Evidence of adequate preparation for such study; consent of faculty member supervising the work; and approval of the department head,,
ADV,497,Colloquium in Advertising ,1,ADV 281 and consent of instructor,,
ADV,498,The Sandage Project ,3,"ADV 250 or ADV 283, ADV 360 or ADV 460, and ADV 390",,
ADV,509,Media Entrepreneurship ,3,Limited to MS Advertising students,,
ADV,550,Foundations of Advertising ,3,Consent of department,,
ADV,580,Advertising Theory ,3,,,
ADV,581,Quanti Research Methods in Adv ,3,Basic statistics course,,
ADV,582,Qualitative Rsrch in Advert ,3,Consent of the department,,
ADV,587,Graduate Seminar I ,3,Consent of department,,
ADV,588,Graduate Seminar II ,3,The grade of B or better in ADV 587,,
ADV,590,Special Topics in Advertising ,1 to 4,Consent of department,,
ADV,594,Advanced Topics in Advertising ,4,Ph,,
ADV,597,Proseminar in Advertising ,1,,,
ADV,598,Professional Project ,0 or 6,A grade of B or better in ADV 588,,
ADV,599,Thesis Research ,0 to 6,ADV 588 and consent of the department,,
AE,100,Intro to Aerospace Engineering ,2,,,
AE,140,Aerospace Computer-Aided Design ,2,Restricted to Aerospace Majors,,
AE,199,Undergraduate Open Seminar ,0 to 5,,,
AE,202,Aerospace Flight Mechanics ,3,Credit or concurrent registration in TAM 212,,
AE,298,Special Topics ,1 to 4,,,
AE,302,Aerospace Flight Mechanics II ,3,AE 352,,
AE,311,Incompressible Flow ,3,Credit or concurrent registration in AE 202 and MATH 241,,
AE,312,Compressible Flow ,3,AE 202 and MATH 285,,
AE,321,Mechs of Aerospace Structures ,3,MATH 285 and one of TAM 210 or TAM 211,,
AE,323,Applied Aerospace Structures ,3,"AE 321, MATH 241, MATH 285, and one of TAM 210 or TAM 211",,
AE,352,Aerospace Dynamical Systems ,3,"MATH 225, MATH 257, or MATH 415; MATH 285, MATH 284, MATH 286, or MATH 441; and TAM 212",,
AE,353,Aerospace Control Systems ,3,"MATH 225, MATH 257, or MATH 415; and MATH 285 and TAM 212",,
AE,370,Aerospace Numerical Methods ,3,Credit or concurrent registration in AE 311 or AE 312; credit or concurrent registration in AE 321 or AE 323,,
AE,395,Honors Project ,1 to 4,Consent of instructor,,
AE,396,Honors Seminar ,1 to 4,Consent of instructor,,
AE,397,Independent Study ,1 to 3,Consent of instructor,,
AE,398,Special Topics ,1 to 4,,,
