course_number,course_title,credit_hours,major
ACCY 405,Assurance and Attestation,3,"Accountancy + Data Science, BS"
ACCY 410,Advanced Financial Reporting,34,"Accountancy + Data Science, BS"
MATH 220,Calculus,,"Accountancy + Data Science, BS"
MATH 221,Calculus I,,"Accountancy + Data Science, BS"
MATH 234,Calculus for Business I,,"Accountancy + Data Science, BS"
MATH 227,Linear Algebra for Data Science,,"Accountancy + Data Science, BS"
MATH 257,Linear Algebra with Computational Applications,,"Accountancy + Data Science, BS"
STAT/CS/IS 107,Data Science Discovery,4,"Accountancy + Data Science, BS"
STAT 207,Data Science Exploration,4,"Accountancy + Data Science, BS"
CS 307,Modeling and Learning in Data Science,4,"Accountancy + Data Science, BS"
CS 277,Algorithms and Data Structures for Data Science,4,"Accountancy + Data Science, BS"
IS 467,Ethics and Policy for Data Science,3,"Accountancy + Data Science, BS"
IS 477,"Data Management, Curation & Reproducibility",3,"Accountancy + Data Science, BS"
ADV 250,Advertising and Brand Strategy,3,"Advertising, BS"
ADV 281,Advertising Research Methods,3,"Advertising, BS"
ADV 284,Consumer Insight,3,"Advertising, BS"
ADV 360,Innovations in Advertising,3,"Advertising, BS"
ADV 390,Content Creation,3,"Advertising, BS"
ADV 492,Tech and Advertising Campaigns,,"Advertising, BS"
ADV 498,The Sandage Project,,"Advertising, BS"
BADM 320,Principles of Marketing,3,"Advertising, BS"
ECON 102,Microeconomic Principles,3,"Advertising, BS"
ECON 103,Macroeconomic Principles,3,"Advertising, BS"
STAT 100,Statistics,3,"Advertising, BS"
ANTH 103,Anthro in a Changing World,3,"Advertising, BS"
PSYC 100,Intro Psych,4,"Advertising, BS"
SOC 100,Introduction to Sociology,4,"Advertising, BS"
AE 100,Intro to Aerospace Engineering,2,"Aerospace Engineering, BS"
ENG 100,Grainger Engineering Orientation Seminar (External transfer students take ENG 300.),1,"Aerospace Engineering, BS"
CHEM 102,General Chemistry I,3,"Aerospace Engineering, BS"
CHEM 103,General Chemistry Lab I,1,"Aerospace Engineering, BS"
MATH 221,Calculus I (MATH 220 may be substituted. MATH 220 is appropriate for students with no background in calculus. 4 of 5 credit hours count towards degree.),4,"Aerospace Engineering, BS"
MATH 231,Calculus II,3,"Aerospace Engineering, BS"
MATH 241,Calculus III,4,"Aerospace Engineering, BS"
MATH 257,Linear Algebra with Computational Applications,3,"Aerospace Engineering, BS"
MATH 285,Intro Differential Equations,3,"Aerospace Engineering, BS"
PHYS 211,University Physics: Mechanics,4,"Aerospace Engineering, BS"
PHYS 212,University Physics: Elec & Mag,4,"Aerospace Engineering, BS"
AE 140,Aerospace Computer-Aided Design,2,"Aerospace Engineering, BS"
AE 202,Aerospace Flight Mechanics,3,"Aerospace Engineering, BS"
AE 311,Incompressible Flow,3,"Aerospace Engineering, BS"
AE 312,Compressible Flow,3,"Aerospace Engineering, BS"
AE 321,Mechs of Aerospace Structures,3,"Aerospace Engineering, BS"
AE 323,Applied Aerospace Structures,3,"Aerospace Engineering, BS"
AE 352,Aerospace Dynamical Systems,3,"Aerospace Engineering, BS"
AE 353,Aerospace Control Systems,3,"Aerospace Engineering, BS"
AE 370,Aerospace Numerical Methods,3,"Aerospace Engineering, BS"
AE 433,Aerospace Propulsion,3,"Aerospace Engineering, BS"
AE 442,Aerospace Systems Design I,3,"Aerospace Engineering, BS"
AE 443,Aerospace Systems Design II,3,"Aerospace Engineering, BS"
AE 460,Aerodynamics & Propulsion Lab,2,"Aerospace Engineering, BS"
AE 461,Structures & Control Lab,2,"Aerospace Engineering, BS"
AE 483,Autonomous Systems Lab,2,"Aerospace Engineering, BS"
CS 101,Intro Computing: Engrg & Sci (CS 124 may be taken instead of CS 101.),3,"Aerospace Engineering, BS"
ECE 205,Electrical and Electronic Circuits,3,"Aerospace Engineering, BS"
ME 200,Thermodynamics,3,"Aerospace Engineering, BS"
MSE 280,Engineering Materials,3,"Aerospace Engineering, BS"
TAM 210,Introduction to Statics,2,"Aerospace Engineering, BS"
TAM 212,Introductory Dynamics,3,"Aerospace Engineering, BS"
AE 402,Orbital Mechanics,34,"Aerospace Engineering, BS"
AE 403,Spacecraft Attitude Control,34,"Aerospace Engineering, BS"
AE 410,Computational Aerodynamics,34,"Aerospace Engineering, BS"
AE 412,Viscous Flow & Heat Transfer,4,"Aerospace Engineering, BS"
AE 416,Applied Aerodynamics,34,"Aerospace Engineering, BS"
AE 419,Aircraft Flight Mechanics,34,"Aerospace Engineering, BS"
AE 420,Finite Element Analysis,34,"Aerospace Engineering, BS"
AE 428,Mechanics of Composites,3,"Aerospace Engineering, BS"
AE 435,Electric Space Propulsion,34,"Aerospace Engineering, BS"
AE 451,Aeroelasticity,34,"Aerospace Engineering, BS"
AE 454,Systems Dynamics & Control,34,"Aerospace Engineering, BS"
AE 456,Global Nav Satellite Systems,4,"Aerospace Engineering, BS"
AE 468,Optical Remote Sensing,3,"Aerospace Engineering, BS"
AE 482,Introduction to Robotics,4,"Aerospace Engineering, BS"
AE 484,"UAV Performance, Design, and Fabrication",3,"Aerospace Engineering, BS"
AE 485,Spacecraft Environment and Interactions,34,"Aerospace Engineering, BS"
AE 497,Independent Study,14,"Aerospace Engineering, BS"
AE 498,Special Topics,14,"Aerospace Engineering, BS"
ENG 491,Interdisciplinary Design Proj (CU1 &amp; CU2),14,"Aerospace Engineering, BS"
ASTR 404,Stellar Astrophysics,3,"Aerospace Engineering, BS"
ASTR 405,Planetary Systems,3,"Aerospace Engineering, BS"
ASTR 406,Galaxies and the Universe,3,"Aerospace Engineering, BS"
ASTR 414,Astronomical Techniques,4,"Aerospace Engineering, BS"
ATMS 301,Atmospheric Thermodynamics,3,"Aerospace Engineering, BS"
ATMS 302,Atmospheric Dynamics I,3,"Aerospace Engineering, BS"
ATMS 303,Synoptic-Dynamic Wea Analysis,4,"Aerospace Engineering, BS"
ATMS 304,Radiative Transfer-Remote Sens,3,"Aerospace Engineering, BS"
ATMS 305,Computing and Data Analysis,3,"Aerospace Engineering, BS"
ATMS 306,Cloud Physics,3,"Aerospace Engineering, BS"
ATMS 313,Synoptic Weather Forecasting,4,"Aerospace Engineering, BS"
ATMS 406,Tropical Meteorology,4,"Aerospace Engineering, BS"
ATMS 410,Radar Remote Sensing,4,"Aerospace Engineering, BS"
CEE 310,Transportation Engineering,3,"Aerospace Engineering, BS"
CEE 330,Environmental Engineering,3,"Aerospace Engineering, BS"
CEE 360,Structural Engineering,3,"Aerospace Engineering, BS"
CEE 380,Geotechnical Engineering,3,"Aerospace Engineering, BS"
CEE 407,Airport Design,34,"Aerospace Engineering, BS"
CEE 412,High-Speed Rail Engineering,34,"Aerospace Engineering, BS"
CEE 451,Environmental Fluid Mechanics,3,"Aerospace Engineering, BS"
CEE 471,Structural Mechanics,34,"Aerospace Engineering, BS"
CHEM 232,Elementary Organic Chemistry I,34,"Aerospace Engineering, BS"
CHEM 233,Elementary Organic Chem Lab I,2,"Aerospace Engineering, BS"
CHEM 236,Fundamental Organic Chem I,4,"Aerospace Engineering, BS"
CS 225,Data Structures,4,"Aerospace Engineering, BS"
CS 420,Parallel Progrmg: Sci & Engrg,34,"Aerospace Engineering, BS"
CS 461,Computer Security I,4,"Aerospace Engineering, BS"
CS 465,User Interface Design,4,"Aerospace Engineering, BS"
CSE 412,Numerical Thermo-Fluid Mechs,24,"Aerospace Engineering, BS"
ECE 210,Analog Signal Processing,4,"Aerospace Engineering, BS"
ECE 220,Computer Systems & Programming,4,"Aerospace Engineering, BS"
ECE 310,Digital Signal Processing,3,"Aerospace Engineering, BS"
ECE 311,Digital Signal Processing Lab,1,"Aerospace Engineering, BS"
ECE 329,Fields and Waves I,3,"Aerospace Engineering, BS"
ECE 330,Power Ckts & Electromechanics,3,"Aerospace Engineering, BS"
ECE 342,Electronic Circuits,3,"Aerospace Engineering, BS"
ECE 343,Electronic Circuits Laboratory,1,"Aerospace Engineering, BS"
ECE 385,Digital Systems Laboratory,3,"Aerospace Engineering, BS"
ECE 473,Fund of Engrg Acoustics,34,"Aerospace Engineering, BS"
ECE 486,Control Systems,4,"Aerospace Engineering, BS"
ENG 491,Interdisciplinary Design Proj (Sections SAE and HYP),14,"Aerospace Engineering, BS"
MSE 401,Thermodynamics of Materials,3,"Aerospace Engineering, BS"
MSE 440,Mechanical Behavior of Metals,3,"Aerospace Engineering, BS"
MSE 443,Design of Engineering Alloys,3,"Aerospace Engineering, BS"
MSE 498,Special Topics (Section CM3),14,"Aerospace Engineering, BS"
SE 310,Design of Structures and Mechanisms,3,"Aerospace Engineering, BS"
SE 420,Digital Control Systems,4,"Aerospace Engineering, BS"
SE 423,Mechatronics,3,"Aerospace Engineering, BS"
IE 310,Deterministic Models in Optimization,3,"Aerospace Engineering, BS"
MATH 347,Fundamental Mathematics,3,"Aerospace Engineering, BS"
MATH 402,Non Euclidean Geometry,34,"Aerospace Engineering, BS"
MATH 413,Intro to Combinatorics,34,"Aerospace Engineering, BS"
MATH 416,Abstract Linear Algebra,34,"Aerospace Engineering, BS"
MATH 442,Intro Partial Diff Equations,34,"Aerospace Engineering, BS"
MATH 446,Applied Complex Variables,34,"Aerospace Engineering, BS"
MATH 461,Probability Theory,34,"Aerospace Engineering, BS"
MATH 482,Linear Programming,34,"Aerospace Engineering, BS"
MATH 484,Nonlinear Programming,34,"Aerospace Engineering, BS"
MATH 489,Dynamics & Differential Eqns,34,"Aerospace Engineering, BS"
ME 320,Heat Transfer,4,"Aerospace Engineering, BS"
ME 360,Signal Processing,3.5,"Aerospace Engineering, BS"
ME 370,Mechanical Design I,3,"Aerospace Engineering, BS"
ME 400,Energy Conversion Systems,34,"Aerospace Engineering, BS"
ME 401,Refrigeration and Cryogenics,34,"Aerospace Engineering, BS"
ME 498,Special Topics,04,"Aerospace Engineering, BS"
MSE 450,Polymer Science & Engineering,34,"Aerospace Engineering, BS"
MSE 453,Plastics Engineering,3,"Aerospace Engineering, BS"
MSE 457,Polymer Chemistry,34,"Aerospace Engineering, BS"
NPRE 201,Energy Systems,23,"Aerospace Engineering, BS"
NPRE 402,Nuclear Power Engineering,34,"Aerospace Engineering, BS"
NPRE 470,Fuel Cells & Hydrogen Sources,3,"Aerospace Engineering, BS"
NPRE 475,Wind Power Systems,34,"Aerospace Engineering, BS"
NPRE 498,Special Topics (Energy Storage and Conveyance),14,"Aerospace Engineering, BS"
PHYS 325,Classical Mechanics I,3,"Aerospace Engineering, BS"
PHYS 326,Classical Mechanics II,3,"Aerospace Engineering, BS"
PHYS 435,Electromagnetic Fields I,3,"Aerospace Engineering, BS"
PHYS 485,Atomic Phys & Quantum Theory,3,"Aerospace Engineering, BS"
PHYS 486,Quantum Physics I,4,"Aerospace Engineering, BS"
STAT 428,Statistical Computing,34,"Aerospace Engineering, BS"
STAT 448,Advanced Data Analysis,4,"Aerospace Engineering, BS"
TAM 324,Behavior of Materials,4,"Aerospace Engineering, BS"
TAM 451,Intermediate Solid Mechanics,4,"Aerospace Engineering, BS"
TAM 456,Experimental Stress Analysis,3,"Aerospace Engineering, BS"
TAM 470,Computational Mechanics,34,"Aerospace Engineering, BS"
TE 401,Developing Breakthrough Projects,14,"Aerospace Engineering, BS"
TMGT 461,"Tech, Eng, & Mgt Final Project",4,"Aerospace Engineering, BS"
ABE 127,Introduction to Agricultural & Biological Engineering,2,"Agricultural & Biological Engineering, BS"
ENG 100,Grainger Engineering Orientation Seminar (External transfer students take ENG 300.),1,"Agricultural & Biological Engineering, BS"
CHEM 102,General Chemistry I,3,"Agricultural & Biological Engineering, BS"
CHEM 103,General Chemistry Lab I,1,"Agricultural & Biological Engineering, BS"
CHEM 104,General Chemistry II,3,"Agricultural & Biological Engineering, BS"
CHEM 105,General Chemistry Lab II,1,"Agricultural & Biological Engineering, BS"
MATH 221,Calculus I (MATH 220 may be substituted. MATH 220 is appropriate for students with no background in calculus. 4 of 5 credit hours count towards degree.),4,"Agricultural & Biological Engineering, BS"
MATH 231,Calculus II,3,"Agricultural & Biological Engineering, BS"
MATH 241,Calculus III,4,"Agricultural & Biological Engineering, BS"
MATH 257,Linear Algebra with Computational Applications,3,"Agricultural & Biological Engineering, BS"
MATH 285,Intro Differential Equations,3,"Agricultural & Biological Engineering, BS"
PHYS 211,University Physics: Mechanics,4,"Agricultural & Biological Engineering, BS"
PHYS 212,University Physics: Elec & Mag,4,"Agricultural & Biological Engineering, BS"
ABE 128,Applied Biology for Agricultural and Biological Engineers,3,"Agricultural & Biological Engineering, BS"
ABE 227,Computer-Aided Problem-Solving for ABE I,3,"Agricultural & Biological Engineering, BS"
ABE 228,Computer-Aided Problem-Solving for ABE II,3,"Agricultural & Biological Engineering, BS"
ABE 340,Thermodynamics for Agricultural and Biological Engineering,3,"Agricultural & Biological Engineering, BS"
ABE 430,Project Management,2,"Agricultural & Biological Engineering, BS"
ABE 469,Capstone Design Experience,4,"Agricultural & Biological Engineering, BS"
CS 101,Intro Computing: Engrg & Sci,3,"Agricultural & Biological Engineering, BS"
ECE 205,Electrical and Electronic Circuits,3,"Agricultural & Biological Engineering, BS"
SE 101,Engineering Graphics & Design,3,"Agricultural & Biological Engineering, BS"
IE 300,Analysis of Data,3,"Agricultural & Biological Engineering, BS"
TAM 211,Statics,3,"Agricultural & Biological Engineering, BS"
TAM 212,Introductory Dynamics,3,"Agricultural & Biological Engineering, BS"
RHET 105& CMN 101,Writing and Researchand Public Speaking (or equivalent (see College Composition I requirement),7,"Agricultural & Consumer Economics, BS"
MATH 124,Finite Mathematics,,"Agricultural & Consumer Economics, BS"
MATH 231,Calculus II,,"Agricultural & Consumer Economics, BS"
MATH 220,Calculus,,"Agricultural & Consumer Economics, BS"
MATH 221,Calculus I,,"Agricultural & Consumer Economics, BS"
MATH 234,Calculus for Business I,,"Agricultural & Consumer Economics, BS"
ACE 262,Applied Statistical Methods and Data Analytics I,,"Agricultural & Consumer Economics, BS"
ACE 264,Applied Statistical Methods & Data Analytics 2,,"Agricultural & Consumer Economics, BS"
ACES 101,Contemporary Issues in ACES (for first year students only),2,"Agricultural & Consumer Economics, BS"
ACE 100,Introduction to Applied Microeconomics,4,"Agricultural & Consumer Economics, BS"
ACE 161,Microcomputer Applications,3,"Agricultural & Consumer Economics, BS"
ACE 300,Intermediate Applied Microeconomics,3,"Agricultural & Consumer Economics, BS"
ACE 341,Issues&Careers in Applied Econ,12,"Agricultural & Consumer Economics, BS"
ACCY 201,Accounting and Accountancy I,3,"Agricultural & Consumer Economics, BS"
ECON 103,Macroeconomic Principles,3,"Agricultural & Consumer Economics, BS"
ACE 435,Global Agribusiness Management,,"Agricultural & Consumer Economics, BS"
ACE 436,International Business Immersion,,"Agricultural & Consumer Economics, BS"
ACE 451,Agriculture in Intl Dev,,"Agricultural & Consumer Economics, BS"
ACE 452,The Latin American Economies,,"Agricultural & Consumer Economics, BS"
ACE 455,International Trade in Food and Agriculture,,"Agricultural & Consumer Economics, BS"
RHET 105& CMN 101,Writing and Researchand Public Speaking,,"Agronomy, BS"
CMN 111& CMN 112,Oral & Written Comm Iand Oral & Written Comm II,,"Agronomy, BS"
Foreign Language,Third Level or Above,,"Agronomy, BS"
MATH 220,Calculus,,"Agronomy, BS"
CPSC 241,Intro to Applied Statistics,,"Agronomy, BS"
CHEM 102& CHEM 103,General Chemistry Iand General Chemistry Lab I,,"Agronomy, BS"
CHEM 104& CHEM 105,General Chemistry IIand General Chemistry Lab II,,"Agronomy, BS"
ACE 100,Introduction to Applied Microeconomics 1,,"Agronomy, BS"
ACES 101,Contemporary Issues in ACES,,"Agronomy, BS"
IB 103,Introduction to Plant Biology,4,"Agronomy, BS"
IB 150,Organismal & Evolutionary Biol,4,"Agronomy, BS"
NRES 201,Introductory Soils,4,"Agronomy, BS"
CPSC 102,Foundational Skills in Crop Sciences,2,"Agronomy, BS"
CPSC 112,Introduction to Crop Sciences,4,"Agronomy, BS"
CPSC 212,Introduction to Plant Protection,4,"Agronomy, BS"
CPSC 393,Crop Sciences Internship,,"Agronomy, BS"
CPSC 395,Undergrad Research or Thesis,,"Agronomy, BS"
CPSC 498,Crop Sci Professional Develpmt,1,"Agronomy, BS"
CPSC 336,Tomorrow's Environment,3,"Agronomy, BS"
CPSC 352,Plant Genetics,4,"Agronomy, BS"
CPSC 382,Organic Chem of Biol Processes,4,"Agronomy, BS"
CPSC 418,Crop Growth and Management,3,"Agronomy, BS"
FAA 101,Arts at Illinois,1,"Architectural Studies, BS"
ARCH 101,Introduction to Architecture,2,"Architectural Studies, BS"
MATH 220,Calculus,5,"Architectural Studies, BS"
MATH 231,Calculus II,3,"Architectural Studies, BS"
ARCH 171,Introduction to Design I,3,"Architectural Studies, BS"
ARCH 172,Introduction to Design II,3,"Architectural Studies, BS"
ARCH 273,Fundamentals of Design I,4,"Architectural Studies, BS"
ARCH 274,Fundamentals of Design II,3,"Architectural Studies, BS"
ARCH 321,"Environment, Architecture, and Global Health",3,"Architectural Studies, BS"
ARCH 418,History of the Urban Environment,,"Architectural Studies, BS"
ARCH 468,Overseas Architectural Studies,,"Architectural Studies, BS"
GGIS 204,Cities of the World,,"Architectural Studies, BS"
GGIS 210,Social & Environmental Issues,,"Architectural Studies, BS"
GGIS 483,Urban Geography,,"Architectural Studies, BS"
UP 101,Introduction to City Planning,,"Architectural Studies, BS"
ARCH 210,Introduction to the History of World Architecture,3,"Architectural Studies, BS"
ARCH 222,Islamic Gardens & Architecture,,"Architectural Studies, BS"
ARCH 314,"History of World Landscapes (may be used to cover requirement before or after 1850CE, but may not fulfill both)",,"Architectural Studies, BS"
ARCH 402,"Introduction to the History of Architectural Theory (may be used to cover requirement before or after 1850CE, but may not fulfill both)",,"Architectural Studies, BS"
ARCH 403,"Special Topics in Architectural History (may be used to cover requirement before or after 1850CE, but may not fulfill both)",,"Architectural Studies, BS"
ARCH 407,Rome: City of Visible History,,"Architectural Studies, BS"
ARCH 409,"Studies in Spanish Architecture (Section B, Barcelona only; may be used to cover requirement before or after 1850CE, but may not fulfill both)",,"Architectural Studies, BS"
ARCH 410,Ancient Egyptian & Greek Arch,,"Architectural Studies, BS"
ARCH 411,Ancient Roman Architecture,,"Architectural Studies, BS"
ARCH 412,Medieval Architecture,,"Architectural Studies, BS"
ARCH 414,Baroque & Rococo Arch,,"Architectural Studies, BS"
ARCH 415,Modernity’s Mirror: Nineteenth-Century Architecture 1750-1900,,"Architectural Studies, BS"
ARCH 314,"History of World Landscapes (may be used to cover requirement before or after 1850CE, but may not fulfill both)",,"Architectural Studies, BS"
ARCH 402,"Introduction to the History of Architectural Theory (may be used to cover requirement before or after 1850CE, but may not fulfill both)",,"Architectural Studies, BS"
ARCH 403,"Special Topics in Architectural History (may be used to cover requirement before or after 1850CE, but may not fulfill both)",,"Architectural Studies, BS"
ARCH 409,"Studies in Spanish Architecture (Section B, Barcelona only; may be used to cover requirement before or after 1850CE, but may not fulfill both)",,"Architectural Studies, BS"
ARCH 416,"The Architecture of the United States, c.1650 to Present",,"Architectural Studies, BS"
ARCH 417,Modern and Contemporary Global Architecture,,"Architectural Studies, BS"
ARCH 231,Anatomy of Buildings,4,"Architectural Studies, BS"
ARCH 232,Structural Fundamentals,4,"Architectural Studies, BS"
ARCH 433,Design of Steel and Reinforced Concrete Structures I,4,"Architectural Studies, BS"
ARCH 434,Environmental Control Systems I,5,"Architectural Studies, BS"
ARCH 435,Structural Systems and Construction Methods,4,"Architectural Studies, BS"
ARCH 371,Intermediate Design I,6,"Architectural Studies, BS"
ARCH 372,Intermediate Design II,6,"Architectural Studies, BS"
ARCH 473,Advanced Design I,6,"Architectural Studies, BS"
ARCH 474,Advanced Design II,6,"Architectural Studies, BS"
PSYC 100,Intro Psych,4,"Athletic Training, BS"
KIN 150,(Life Science),3,"Athletic Training, BS"
MCB 103& MCB 104,and  (Intro to Human Physiology),0,"Athletic Training, BS"
MCB 334,(Functional Human Anatomy),,"Athletic Training, BS"
KIN 140,(Gen Ed),3,"Athletic Training, BS"
KIN 150,(Gen Ed),3,"Athletic Training, BS"
KIN 201,(Gen Ed),3,"Athletic Training, BS"
KIN 259,(Gen Ed),3,"Athletic Training, BS"
KIN 340,(Gen Ed),3,"Athletic Training, BS"
KIN 140,(Gen Ed),3,"Athletic Training, BS"
KIN 150,(Gen Ed),3,"Athletic Training, BS"
KIN 340,(Gen Ed),3,"Athletic Training, BS"
KIN 257,"(Coordination, Control & Skill)",,"Athletic Training, BS"
FSHN 120,Contemporary Nutrition,3,"Athletic Training, BS"
CHEM 202& CHEM 203& CHEM 204& CHEM 205,Accelerated Chemistry Iand Accelerated Chemistry Lab Iand Accelerated Chemistry IIand Accelerated Chemistry Lab II (preferred sequence),,"Biochemistry, BS"
CHEM 102& CHEM 103& CHEM 104& CHEM 105,General Chemistry Iand General Chemistry Lab Iand General Chemistry IIand General Chemistry Lab II (with advisor approval),,"Biochemistry, BS"
CHEM 236& CHEM 237& CHEM 436,Fundamental Organic Chem Iand Structure and Synthesisand Fundamental Organic Chem II (preferred sequence),,"Biochemistry, BS"
CHEM 232& CHEM 233& CHEM 332,Elementary Organic Chemistry Iand Elementary Organic Chem Lab Iand Elementary Organic Chem II (with advisor approval),,"Biochemistry, BS"
MCB 150,Molec & Cellular Basis of Life,,"Biochemistry, BS"
MCB 250,Molecular Genetics,,"Biochemistry, BS"
MCB 251,Exp Techniqs in Molecular Biol,,"Biochemistry, BS"
MCB 252,"Cells, Tissues & Development",,"Biochemistry, BS"
MCB 253,Exp Techniqs in Cellular Biol,,"Biochemistry, BS"
MCB 354,Biochem & Phys Basis of Life,,"Biochemistry, BS"
CHEM 440,Physical Chemistry Principles (Biological Perspective Section),,"Biochemistry, BS"
BIOC 446,Physical Biochemistry (preferred sequence),,"Biochemistry, BS"
CHEM 442,Physical Chemistry I,,"Biochemistry, BS"
CHEM 444,Physical Chemistry II (with advisor approval),,"Biochemistry, BS"
STAT 212,Biostatistics,,"Biochemistry, BS"
MATH 220,Calculus,,"Biochemistry, BS"
MATH 231,Calculus II,,"Biochemistry, BS"
MATH 241,Calculus III,,"Biochemistry, BS"
PHYS 211& PHYS 212& PHYS 213,University Physics: Mechanicsand University Physics: Elec & Magand Univ Physics: Thermal Physics (preferred sequence),,"Biochemistry, BS"
PHYS 101& PHYS 102,College Physics: Mech & Heatand College Physics: E&M & Modern (or equivalent as approved by academic advisor (with advisor approval),,"Biochemistry, BS"
BIOC 455,Technqs Biochem & Biotech,,"Biochemistry, BS"
BIOC 460,Biochemistry Senior Seminar,,"Biochemistry, BS"
BIOC 406,Gene Expression & Regulation,,"Biochemistry, BS"
BIOP 401,Introduction to Biophysics,,"Biochemistry, BS"
ENG 100,Grainger Engineering Orientation Seminar (External transfer students take ENG 300.),1,"Bioengineering, BS"
BIOE 100,Bioengineering Seminar,1,"Bioengineering, BS"
BIOE 120,Introduction to Bioengineering,1,"Bioengineering, BS"
CHEM 102,General Chemistry I,3,"Bioengineering, BS"
CHEM 103,General Chemistry Lab I,1,"Bioengineering, BS"
CHEM 104,General Chemistry II,3,"Bioengineering, BS"
CHEM 105,General Chemistry Lab II,1,"Bioengineering, BS"
MATH 221,Calculus I (MATH 220 may be substituted.  MATH 220 is appropriate for students with no background in calculus.  4 of 5 credit hours count towards degree.),4,"Bioengineering, BS"
MATH 231,Calculus II,3,"Bioengineering, BS"
MATH 241,Calculus III,4,"Bioengineering, BS"
MATH 285,Intro Differential Equations,3,"Bioengineering, BS"
PHYS 211,University Physics: Mechanics,4,"Bioengineering, BS"
PHYS 212,University Physics: Elec & Mag,4,"Bioengineering, BS"
BIOE 201,Conservation Principles Bioeng,3,"Bioengineering, BS"
BIOE 202,Cell & Tissue Engineering Lab,2,"Bioengineering, BS"
BIOE 205,Signals & Systems in Bioengrg,3,"Bioengineering, BS"
BIOE 206,Cellular Bioengineering,3,"Bioengineering, BS"
BIOE 210,Linear Algebra for Biomedical Data Science,3,"Bioengineering, BS"
BIOE 302,Modeling Human Physiology,3,"Bioengineering, BS"
BIOE 303,Quantitative Physiology Lab,2,"Bioengineering, BS"
BIOE 310,Computational Tools for Biological Data,3,"Bioengineering, BS"
BIOE 360,Transport & Flow in Bioengrg,3,"Bioengineering, BS"
BIOE 400,Bioengineering Senior Design,4,"Bioengineering, BS"
BIOE 414,Biomedical Instrumentation,3,"Bioengineering, BS"
BIOE 415,Biomedical Instrumentation Lab,2,"Bioengineering, BS"
BIOE 420,Intro Bio Control Systems,3,"Bioengineering, BS"
BIOE 476,Tissue Engineering,3,"Bioengineering, BS"
CHEM 232,Elementary Organic Chemistry I,4,"Bioengineering, BS"
