AP Exam,Score,Course Credited,Credit Hours,Placement Message
GOVERNMENT & POLITICS: U.S.,3,PS 1 - -,3,PS 101
GOVERNMENT & POLITICS: U.S.,4 or 5,PS 101,3,Any PS course numbered higher than PS 199
"HISTORY, EUROPEAN",3 or 4,HIST 1 - -,3,-
"HISTORY, EUROPEAN",5,HIST 142,3,-
"HISTORY, U.S.","3, 4 or 5",HIST 1 - -,3,-
"HISTORY, WORLD",3 or 4,HIST 1 - -,3,-
"HISTORY, WORLD",5,HIST 100,3,-
HUMAN GEOGRAPHY,3,GGIS 1 - -,3,GGIS 104
HUMAN GEOGRAPHY,4 or 5,GGIS 104,4,GGIS 204 or GGIS 210
ITALIAN,3,ITAL 102,4,Please meet with Laura Callegari Hill to discuss opportunities for higher placement and possibly additional proficiency credit.
ITALIAN,4,ITAL 103,4,Please meet with Laura Callegari Hill to discuss opportunities for higher placement and possibly additional proficiency credit.
ITALIAN,5,ITAL 103             ITAL 104,4             4,Please meet with Laura Callegari Hill to discuss opportunities for higher placement and possibly additional proficiency credit.
JAPANESE,3,JAPN 2 - -,5,Take the UIUC Japanese Placement Test.
JAPANESE,4,JAPN 203             JAPN 204,5             5,JAPN 305
JAPANESE,5,JAPN 203             JAPN 204             JAPN 305             JAPN 306,5             5             5             5,Take the UIUC Japanese Placement Test.
LATIN,3,LAT 201             LAT 202,4             4,LAT 401
LATIN,4 or 5,LAT 201             LAT 202             LAT 1 - -,4             4             3,LAT 401
MUSIC THEORY,3,MUS 1 - -,2,"You may take the Music Theory or the Musicianship proficiency exam, if you wish."
MUSIC THEORY,"4 with an aural subscore of 1, 2 or 3",MUS 1 - -,2,"You may take the Music Theory or the Musicianship proficiency exam, if you wish."
MUSIC THEORY,4 with an aural subscore of 4,MUS 102,2,"You may take the Musicianship proficiency exam, if you wish."
MUSIC THEORY,4 with an aural subscore of 5,MUS 102             MUS 107,2             2,-
MUSIC THEORY,"5 with an aural subscore of 1, 2, 3 or 4",MUS 102,2,"You may take the Musicianship proficiency exam, if you wish."
MUSIC THEORY,5 with an aural subscore of 5,MUS 102             MUS 107,2             2,-
PHYSICS 1,3,PHYS 1 - -,3,Take the UIUC Physics Placement Test prior to enrolling in a Physics course. You may register for the PHYS 101 proficiency exam.
PHYSICS 1,4,PHYS 1 - -,4,Take the UIUC Physics Placement Test prior to enrolling in a Physics course. You may register for the PHYS 101 proficiency exam.
PHYSICS 1,5,PHYS 101,5,Consult with your advisor.
PHYSICS 2,3,PHYS 1 - -,3,Take the UIUC Physics Placement Test prior to enrolling in a Physics course. You may register for the PHYS 101 or the PHYS 102 proficiency exam.
PHYSICS 2,4,PHYS 1 - -,4,Take the UIUC Physics Placement Test prior to enrolling in a Physics course. You may register for  the PHYS 101 or the PHYS 102 proficiency exam.
PHYSICS 2,5,PHYS 102,5,Consult with your advisor.
PHYSICS C: ELECTRICITY & MAGNETISM,3,PHYS 2 - -,3,Take the UIUC Physics Placement Test prior to enrolling in a Physics course. You may register for  the Physics proficiency exam that corresponds to the requirements of your program.
PHYSICS C: ELECTRICITY & MAGNETISM,4,PHYS 2 - -,4,Take the UIUC Physics Placement Test prior to enrolling in a Physics course. You may register for  the Physics proficiency exam that corresponds to the requirements of your program.
PHYSICS C: ELECTRICITY & MAGNETISM,5,PHYS 212,4,Consult with your advisor.
PHYSICS C: MECHANICS,3,PHYS 2 - -,3,Take the UIUC Physics Placement Test prior to enrolling in a Physics course. You may register for the Physics proficiency exam that corresponds to the requirements of your program.
PHYSICS C: MECHANICS,4,PHYS 2 - -,4,Take the UIUC Physics Placement Test prior to enrolling in a Physics course. You may register for the Physics proficiency exam that corresponds to the requirements of your program.
PHYSICS C: MECHANICS,5,PHYS 211,4,Consult with your advisor.
PRECALCULUS,3-5,MATH 1--,3,Follow your ALEKS placement.
PSYCHOLOGY,3 or 4,PSYC 1 - -,3,-
PSYCHOLOGY,5,PSYC 100,4,-
SPANISH LANGUAGE,3,SPAN 141,4,"SPAN 200, 202, 204, 208, 228, or 232"
SPANISH LANGUAGE,4 or 5,SPAN 141             SPAN 200             SPAN 204,4             3             3,"SPAN 202, 208, 228, or 232"
SPANISH LITERATURE,3,SPAN 141,4,"SPAN 200, 202, 204, 208, 228, or 232"
SPANISH LITERATURE,4 or 5,SPAN 141             SPAN 200             SPAN 204,4             3             3,"SPAN 202, 208, 228, or 232"
STATISTICS,3,STAT 1 - -,3,-
STATISTICS,4 or 5,STAT 100,3,-
